Nombre de la revista,"Number of contribution
in magazine","Contributor
Last name / first name",Roles de los colaboradores ,Pseudonym / abbreviation used,Source of contributor data,Sex,País de origen,Year of Birth,Year of Death,Age at contribution,Title of contribution,Issue number,Original issue date,Calculable issue date,"Inicio
[aaaa-mm-dd] ","Término
[aaaa-mm-dd] ","Duración
[pasos de tiempo en días]","Type of contribution
[Género según investigador]",Género según la revista,Lengua,Dedicatoria,Libros reseñados,Traductor,Lengua original,No. páginas,Mención de viajeros ,"Adaptación / apropiación /
modificación / reinterpretación","Intermediarios en
las transferencias",Comentarios
La Gruta,13,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,La semana,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,No ficción,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,14,"Mendoza, Diego",,,https://es.wikipedia.org/wiki/Diego_Mendoza,M,Colombiano,1857,1933,NA,"""La Gruta""",2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Prospecto,NA,NA,NA,,NA,,2,NA,NA,NA,Tomado de el relator
La Gruta,15,"Pombo, Rafael",,,https://es.wikipedia.org/wiki/Rafael_Pombo,M,Colombia,1833,1912,70,Dolores Argaez y Ferro,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Poesía,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,16,"Villafañe, Carlos",,,https://www.ecured.cu/Carlos_Mar%C3%ADa_Villafa%C3%B1e,M,Colombiano,1881,1959,NA,Dolores Argaez y Ferro,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Poesía,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,17,"Acosta, Javier",,,NA,M,Colombiano,NA,NA,NA,Dolores Argaez y Ferro,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Poesía,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,18,"Flórez, Julio",,,https://es.wikipedia.org/wiki/Julio_Fl%C3%B3rez,M,Colombiano,1867,1923,NA,En la muerte de la Srita. Dolores Argáez,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Elegía,Elegía,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,19,"Soto Borda, Clímaco",,,https://es.wikipedia.org/wiki/Cl%C3%ADmaco_Soto_Borda,M,Colombiano,1870,1919,NA,sd,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Elegía,Elegía,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,20,"Francisco, Julio de",,,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,sd,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Elegía,Elegía,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,21,"Mora, Luis María",,Moratín,https://es.wikipedia.org/wiki/Luis_Mar%C3%ADa_Mora,M,Colombiano,1867,1936,NA,sd,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Elegía,Elegía,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,22,"Uribe, Diego",,,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,sd,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Elegía,Elegía,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,23,"Torres, Carlos Arturo",,,https://es.wikipedia.org/wiki/Carlos_Arturo_Torres,M,Colombiano,1867,1911,NA,sd,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Elegía,Elegía,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,24,"Acevedo, Graciliano",,,http://bibliotecadigital.caroycuervo.gov.co/1487/1/NC_1E_34_1963.pdf,M,Colombiano,1867,NA,NA,sd,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Elegía,Elegía,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,25,"García Rico, Francisco",,Oyden,https://cvc.cervantes.es/lengua/thesaurus/pdf/13/TH_13_123_120_0.pdf,M,Colombiano,NA,1914,NA,Última página,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Elegía,Elegía,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,26,"Escobar, Mario",,,NA,M,Colombiano,NA,NA,NA,Informaciones. La república Española,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,No ficción,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,27,Directores,,,NA,M,Colombiano,NA,NA,NA,Condiciones,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Condiciones,Condiciones,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,28,Anónimo,,,NA,M,NA,NA,NA,NA,Decreto N°.84 de 1903,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Decreto,Decreto,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,29,Anónimo,,,NA,M,NA,NA,NA,NA,"""Fenicia""",2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Anuncio,Anuncio,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,30,Anónimo,,,NA,M,NA,NA,NA,NA,La agencia de Fedérico Rivas Frade,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,31,Anónimo,,,NA,M,NA,NA,NA,NA,na,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,32,"Rivas Frade, Fedérico",director,,"https://www.ecured.cu/Federico_Rivas_Frade#:~:text=Fue%20conocido%20especialmente%20por%20sus,primer%20diario%20liberal%20de%20Bogot%C3%A1.",M,Colombiano,1856,1922,NA,Julio de Francisco,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Obituario,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,33,"Francisco, Julio de",,,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,Por que lloraba,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Cuento,Cuento,NA,A diego Uribe,,NA,,2,NA,NA,NA,
La Gruta,34,"Francisco, Julio de",,,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,¡Qué suerte! (¿Qué haría con la casa?),3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Cuento,Cuento,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,35,"Francisco, Julio de",,,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,La lezna de Moratin,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Soneto,Soneto,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,36,Anónimo,,,NA,M,NA,NA,NA,NA,La gran batalla,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Capítulo de libro,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,37,Anónimo,,,NA,M,NA,NA,NA,NA,A Rafael Espinosa Guzmán,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,38,"Francisco, Julio de",,,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,"Alma gemelas. (Carlos Argáez, Jesús María Osorio, Carlos Ordóñez Santamaría)",3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,39,P.A.,,P.A.,NA,M,Colombiano,NA,NA,NA,La semana,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,No ficción,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,40,"Acosta, Javier",,,NA,M,Colombiano,NA,NA,NA,La decadencia y el simbolismo. Notas finales,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Crítica,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,41,Anónimo,,,NA,M,NA,NA,NA,NA,"Sin título (Parte de la polémica sobre el La decadencia y el Sombolismo, el autor Acosta, dice que esa parte de la respuesta es de un amigo)",3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Crítica,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,42,"Montes Del Valle, Agripina",,,https://es.wikipedia.org/wiki/Agripina_Montes_del_Valle,F,Colombiano,1844,1912,NA,El Dr. José M. González B.,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Comentario,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,43,Anónimo,,,NA,M,NA,NA,NA,NA,Decreto N°.84 de 1903,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Decreto,Decreto,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,44,Directores,,,NA,M,Colombiano,NA,NA,NA,Condiciones,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Condiciones,Condiciones,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,45,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,3,3 August 1903,1903-08-03,1903-08-03,1903-08-10,7,Anuncio,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,46,Anónimo,,,NA,M,NA,NA,NA,NA,La agencia de Fedérico Rivas Frade,4,10 August 1903,1903-08-10,1903-08-10,1903-08-24,14,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,47,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,4,10 August 1903,1903-08-10,1903-08-10,1903-08-24,14,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,48,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,La semana,4,10 August 1903,1903-08-10,1903-08-10,1903-08-24,14,No ficción,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,49,"Cervantes, Edmundo",,,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1860,1917,NA,Recuerdos de campaña,4,10 August 1903,1903-08-10,1903-08-10,1903-08-24,14,Capítulo de libro,NA,NA,En san Jerónimo de Ayapel (Paulina),,NA,,8,NA,NA,NA,
La Gruta,50,"Castello, Carlos",,,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,Florilegio,4,10 August 1903,1903-08-10,1903-08-10,1903-08-24,14,Poesía,NA,NA,Para un album,,NA,,1,NA,NA,NA,
La Gruta,51,"López, Samuel",,,NA,M,Colombiano,NA,NA,NA,Evocación,4,10 August 1903,1903-08-10,1903-08-10,1903-08-24,14,Poesía,NA,NA,Para Javier Acosta,,NA,,1,NA,NA,NA,
La Gruta,52,"Gómez Carrillo, Enrique",,,https://es.wikipedia.org/wiki/Enrique_G%C3%B3mez_Carrillo,M,Guatemala,1873,1927,NA,Ecos filiales,4,10 August 1903,1903-08-10,1903-08-10,1903-08-24,14,Poesía,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,53,"Gómez, Plinio",,,NA,M,Colombiano,NA,NA,NA,A Pío Vélez Malo,4,10 August 1903,1903-08-10,1903-08-10,1903-08-24,14,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,54,Anónimo,,,NA,M,NA,NA,NA,NA,decreto N°.84 de 1903,4,10 August 1903,1903-08-10,1903-08-10,1903-08-24,14,Decreto,Decreto,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,55,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,4,10 August 1903,1903-08-10,1903-08-10,1903-08-24,14,Anuncio,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,56,Anónimo,,,NA,M,NA,NA,NA,NA,La agencia de Fedérico Rivas Frade,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,57,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,58,"León Gómez, Adolfo ",,,https://es.wikipedia.org/wiki/Adolfo_Le%C3%B3n_G%C3%B3mez,M,Colombiano,1857,1927,NA,Ultratumba,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Poesía,NA,NA,A mi esposa,,NA,,1,NA,NA,NA,
La Gruta,59,"León Gómez, Adolfo ",,,https://es.wikipedia.org/wiki/Adolfo_Le%C3%B3n_G%C3%B3mez,M,Colombiano,1857,1927,NA,A mi niña,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,60,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,De literatura,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Crítica,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,61,Floralba,,Floralba,NA,F,Colombiano,NA,NA,NA,El sepulcro vacío,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Cuento,NA,NA,Para mi distinguida amiga. Fanu Cuell..,,NA,,4,NA,NA,NA,
La Gruta,62,"Escobar, Mario",,,NA,M,Colombiano,NA,NA,NA,Informaciones. Muerte de un poeta,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Obituario,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,63,"Gómez Jaime, Alfredo",,,https://www.ecured.cu/Alfredo_G%C3%B3mez_Jaime,M,Colombiano,1878,1946,NA,El gran premio,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Crónica,NA,NA,NA,,NA,,3,NA,NA,NA,"http://boyacacultural.com/index.php?option=com_content&view=article&id=282&Itemid=37#:~:text=Nace%20en%20Tunja%20el%202,21%20de%20Agosto%20de%201946.&text=Public%C3%B3%20varios%20tomos%20de%20versos,Villaespesa%2C%20la%20c%C3%A9lebre%20Revista%20Latina."
La Gruta,64,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,La semana,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,No ficción,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,65,"Lleras A., Alfredo",,,https://babel.banrepcultural.org/digital/api/collection/p17054coll26/id/10036/download,M,Colombiano,NA,NA,NA,Ayer y hoy,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,66,"Echeverría, Eduardo",,,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,Rayo de luna,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Poesía,NA,NA,NA,,NA,,2,NA,NA,NA,aparece en la lista de escritores de la Gruta en este link: https://www.revistacredencial.com/historia/temas/la-gruta-simbolica-una-anecdota-en-si-misma-0
La Gruta,67,Anónimo,,,NA,M,NA,NA,NA,NA,Emociones de la guerra,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,68,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,5,24 August 1903,1903-08-24,1903-08-24,1903-08-29,5,Anuncio,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,69,Anónimo,,,NA,M,NA,NA,NA,NA,La agencia de Fedérico Rivas Frade,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,70,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,71,"Vargas Tamayo, Roberto",,,https://d-nb.info/gnd/1019501391 ,M,Colombiano,1876,1959,NA,"Los palidos. Del libro ""Escoszos""",6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,72,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,Recuerdos íntimos,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Crítica,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,73,"Acosta, Javier",,,NA,M,Colombiano,NA,NA,NA,De eros,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Cuento,NA,NA,Para Ricardo Hinestrosa Daza,,NA,,2,NA,NA,NA,
La Gruta,74,"Rémy, François",,,https://books.google.com.co/books?id=xmna3X1t3c4C&pg=PA290&lpg=PA290&dq=Francois+R%C3%A9my+escritor&source=bl&ots=PHmocDJ4Ci&sig=ACfU3U2h6inNS1dU3rkQocNAOPWsEjOcMA&hl=es&sa=X&ved=2ahUKEwjgl-LSu4TzAhWfRzABHSLzDy4Q6AF6BAgMEAM#v=onepage&q=Francois%20R%C3%A9my%20escritor&f=false,M,Francés,NA,NA,NA,El loco del plenilunio,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Cuento,NA,NA,NA,,NA,,3,NA,NA,NA,https://books.google.com.co/books?id=xmna3X1t3c4C&pg=PA290&lpg=PA290&dq=Francois+R%C3%A9my+escritor&source=bl&ots=PHmocDJ4Ci&sig=ACfU3U2h6inNS1dU3rkQocNAOPWsEjOcMA&hl=es&sa=X&ved=2ahUKEwjgl-LSu4TzAhWfRzABHSLzDy4Q6AF6BAgMEAM#v=onepage&q=Francois%20R%C3%A9my%20escritor&f=false
La Gruta,75,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,La semana,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,No ficción,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,76,"Rivas Frade, Fedérico",director,,"https://www.ecured.cu/Federico_Rivas_Frade#:~:text=Fue%20conocido%20especialmente%20por%20sus,primer%20diario%20liberal%20de%20Bogot%C3%A1.",M,Colombiano,1856,1922,NA,Silencio,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,77,"Vargas Tamayo, Roberto",,,https://d-nb.info/gnd/1019501391 ,M,Colombiano,1876,1959,NA,?...,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,78,"López, Ismael",,Cornelio Hispano,https://cvc.cervantes.es/lengua/thesaurus/pdf/13/TH_13_123_120_0.pdf,M,Colombiano,1880,1962,NA,Edad de oro,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,79,"Calderón, Luis Eduardo",,,NA,M,Colombiano,NA,NA,NA,Para entonces,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Poesía,NA,NA,A Rafael Escobar Roa,,NA,,1,NA,NA,NA,
La Gruta,80,Anónimo,,,NA,M,NA,NA,NA,NA,decreto N°.84 de 1903,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Decreto,Decreto,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,81,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,6,29 August 1903,1903-08-29,1903-08-29,1903-09-10,12,Anuncio,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,82,Anónimo,,,NA,M,NA,NA,NA,NA,La agencia de Fedérico Rivas Frade,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,Anuncio,Anuncio,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,83,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,84,"Bohemia, Juan de",,,NA,M,NA,NA,NA,NA,Umbra,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,85,"Gaitán O., Gustavo",,,https://www.revistacredencial.com/historia/temas/treinta-y-seis-mil-quinientos-dias-de-prensa-escrita,M,Colombiano,NA,NA,NA,Letheo,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,Poesía,NA,NA,A Javier Acosta,,NA,,1,NA,NA,NA,información de: https://www.revistacredencial.com/historia/temas/treinta-y-seis-mil-quinientos-dias-de-prensa-escrita
La Gruta,86,"Villegas, Marco A.",,,NA,M,Colombiano,NA,NA,NA,Condolencia,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,Carta,NA,NA,NA,,NA,,1,NA,NA,NA,Presidente de la Gruta Simbólica en Barranquilla:
La Gruta,87,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,Gruta Simbólica,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,Carta,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,88,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,Literatura y arte,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,Crítica,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,89,"Ospina Vásquez, Mariano",,M.O.V.,https://es.wikipedia.org/wiki/Mariano_Ospina_V%C3%A1squez,M,Colombiano,NA,1869,1941,Temas de conversación,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,No ficción,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,90,"Escobar, Mario",,,NA,M,Colombiano,NA,NA,NA,Informaciones. Un libro,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,Reseña de libro,NA,NA,NA,Peregrinaciones de Rubén Darío,NA,,2,NA,NA,NA,
La Gruta,91,"Scarpeta, Oswaldo",,,https://bibliotecadigital.univalle.edu.co/bitstream/handle/10893/14266/CB-0591837.pdf?sequence=1&isAllowed=y,M,Colombiano,NA,NA,NA,El alferez real,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,Crítica,NA,NA,NA,,NA,,5,NA,NA,NA,
La Gruta,92,"Joufrez, Lila de",,,NA,F,Colombiano,NA,NA,NA,Amor verdadero,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,Cuento,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,93,"Güell, Luis C.",,,NA,M,Colombiano,NA,NA,NA,Fantasía. Gabrielle D'Anunzio,7,10 September 1903,1903-09-10,1903-09-10,1903-09-26,16,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
