Nombre de la revista,Número de la contribución,Autor de la contribución,Roles,Seudónimo / Abreviatura del nombre,País de origen,Título de la contribución,Número del fascículo,Fecha de publicación,Traducción,Traductor,Lengua en la que aparece en la revista,Lengua original [si es traducción],Tipo de contribución [Género según investigador],Tipo de contribución según la revista,Dedicatoria,Obras reseñadas [solo se indica para el caso de las reseñas],Cantidad de páginas,Paginación,Comentarios
Revista Moderna. (Enciclopedia colombiana),11,"Urdaneta Ramos, Alfredo",Director,NA,Colombia,Preliminares de la guerra,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,8.75,68-76,NA
Revista Moderna. (Enciclopedia colombiana),12,Anónimo,Creador,NA,NA,Revista Moderna,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.25,77,NA
Revista Moderna. (Enciclopedia colombiana),13,Anónimo,Creador,NA,NA, Cámara de comercio,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,1,77-78,NA
Revista Moderna. (Enciclopedia colombiana),14,Anónimo,Creador,NA,NA,Junta central de higiene,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.5,78,NA
Revista Moderna. (Enciclopedia colombiana),15,Anónimo,Creador,NA,NA,Obito,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.25,78,NA
Revista Moderna. (Enciclopedia colombiana),16,Anónimo,Creador,NA,NA,Concurso de historia,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.25,79,NA
Revista Moderna. (Enciclopedia colombiana),17,Anónimo,Creador,NA,NA,Consejo de Estado,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.25,79,NA
Revista Moderna. (Enciclopedia colombiana),18,Anónimo,Creador,NA,NA,Aguas de Bogotá,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,1,79-80,NA
Revista Moderna. (Enciclopedia colombiana),19,Anónimo,Creador,NA,NA,Ministro del tesoro,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.2,80,NA
Revista Moderna. (Enciclopedia colombiana),20,Anónimo,Creador,NA,NA,Duplicación de impuestos,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.3,80,NA
Revista Moderna. (Enciclopedia colombiana),21,Anónimo,Reseñista,NA,NA,Las capitales de la gran colombia,1,Enero de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,"Las capitales de la gran Colombia,  por Alberto Gutiérrez ",0.5,81,"(Librería de Ch. Bouret, París, 1914). Transferencia: promoción de libros"
Revista Moderna. (Enciclopedia colombiana),22,Anónimo,Reseñista,NA,NA,La Gitana. Poema dramático,1,Enero de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,La Gitana. Poema dramático por Miguel Santiago Valencia,0.2,81,"Casa editorial de Arboleda & Valencia, Bogotá, 1914. Transferencia: promoción de libros"
Revista Moderna. (Enciclopedia colombiana),23,Anónimo,Reseñista,NA,NA,Biografía de Córdoba,1,Enero de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,Biografía de Córdoba por Eduardo Posada,0.4,81-82,"Imprenta Eléctrica, Bogotá, 1914.-Segunda edición. Transferencia: promoción de libros"
Revista Moderna. (Enciclopedia colombiana),24,Anónimo,Reseñista,NA,NA,Archivo Santander,1,Enero de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,Archivo Santander,0.4,82,"""Publicación hecha por una Comisión de la Academia de Historia, bajo la dirección de don Ernesto Restrepo Tirado. Transferencia: promoción de libros Tomo III (Aguila Negra Editorial, Bogotá. 1914"""
Revista Moderna. (Enciclopedia colombiana),25,Anónimo,Reseñista,NA,NA,The private Life of Imperor William II and Consort,1,Enero de 1915,Sí,NA,Español,Inglés,Reseña,Bibliografía,NA,"The private Life of Emperor William II and Consort, by Henry W. Fisher",0.5,82,"George barrie & Sons, Philadelphia. Transferencia: promoción de libros"
Revista Moderna. (Enciclopedia colombiana),26,Anónimo,Creador,NA,NA,NA,1,Enero de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,2,NA,NA
Revista Moderna. (Enciclopedia colombiana),27,La dirección,Creador,NA,Colombia,Páginas olvidadas,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,NA,"Será una sección en la que se publiquen fragmentos de las obras de los autores que listan en esta página, acompañada de una pequeña biografía y ""un juicio crítico sobre su obra"""
Revista Moderna. (Enciclopedia colombiana),28,La dirección,Director,NA,Colombia,Revista Moderna. (Enciclopedia colombiana),2,Febrero de 1915,No,nA,Español,NA,Prosa No ficción,NA,NA,NA,2,NA,Información de la revista
Revista Moderna. (Enciclopedia colombiana),29,Anónimo,Creador,NA,NA,NA,2,Febrero de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,3,NA,"Transferencias: Obras mencionadas: Diario de Bucaramanga o Vida íntima del Libertador Simón Bolivar, Elegías Caucanas, Historia secreta de Bolívar"
Revista Moderna. (Enciclopedia colombiana),30,"Márquez Cuervo, Carlos",Creador,NA,Colombia,Asuntos suramericanos,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,6,83-88,NA
Revista Moderna. (Enciclopedia colombiana),31,"Dahlgren, E.N.",Creador,NA,NA,Cómo se venía de España a Cartagena hace doscientos años,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,14.5,89-103,Era el director de la Biblioteca de Estockolmo. Nota al pie del nombre 
Revista Moderna. (Enciclopedia colombiana),32,"Serao, Matilde",Creador,NA,Grecia,Poema de una noche de amor,2,Febrero de 1915,Sí,Revista Moderna,Español,Italiano,Prosa Ficción,Novela,NA,NA,18,104-121,Transfrencia: traducción de libro
Revista Moderna. (Enciclopedia colombiana),33,"Ortiz V, Manuel",Creador,NA,NA,Cámaras de comercio,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,5,122-126,El autor es miembro de la Cámara de comercio de Bogotá
Revista Moderna. (Enciclopedia colombiana),34,"Díez Canedo, Manuel",Creador,NA,NA,Crónica europea,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,8.5,127-135,Transferencias: relatos sobre varias ciudades europeas
Revista Moderna. (Enciclopedia colombiana),35,La dirección,Director,NA,Colombia,Páginas olvidadas. José María Vergara y Vergara,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,Comentario crítico,NA,NA,0.5,136,Transferencias locales: rescate de autores olvidados
Revista Moderna. (Enciclopedia colombiana),36,Anónimo,Ilustrador,NA,NA,NA,2,Febrero de 1915,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,136,NA
Revista Moderna. (Enciclopedia colombiana),37,"Vergara y Vergara, José María",Creador,NA,Colombia,El viento,2,Febrero de 1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,6,137-143,NA
Revista Moderna. (Enciclopedia colombiana),38,La dirección,Director,NA,Colombia,Revista Política,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,5.2,144-150,NA
Revista Moderna. (Enciclopedia colombiana),39,"May, Dick",Creador,NA,Argelia,Una explicación,2,Febrero de 1915,Sí,NA,Español,Francés,Prosa Ficción,Cuento,NA,NA,12.3,144-163,Transferencia: traducción
Revista Moderna. (Enciclopedia colombiana),40,La dirección,Director,NA,Colombia,Cultura,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.2,164,NA
Revista Moderna. (Enciclopedia colombiana),41,La dirección,Director,NA,Colombia,Tonel de las Danaides,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,1.8,164-165,NA
Revista Moderna. (Enciclopedia colombiana),42,La dirección,Director,NA,Colombia,La junta de tenerdores de Bonos,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,1,166,NA
Revista Moderna. (Enciclopedia colombiana),43,La dirección,Director,NA,Colombia,Informes bancarios,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.5,167,NA
Revista Moderna. (Enciclopedia colombiana),44,La dirección,Director,NA,Colombia,Concurso,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.5,167,"Concurso de ""Novela corta con argumento histórico nacional"""
Revista Moderna. (Enciclopedia colombiana),45,La dirección,Director,NA,Colombia,Tranvía municipal de Bogotá,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,1,168,NA
Revista Moderna. (Enciclopedia colombiana),46,La dirección,Director,NA,Colombia,Teatro de Colón,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,1,169,NA
Revista Moderna. (Enciclopedia colombiana),47,La dirección,Director,NA,Colombia,Obito,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.5,170,NA
Revista Moderna. (Enciclopedia colombiana),48,La dirección,Director,NA,Colombia,NA,2,Febrero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.2,170,Título de algunos de los artículos que se publicarán en el #3 
Revista Moderna. (Enciclopedia colombiana),49,La dirección,Director,NA,Colombia,Escritos de marco Fidel Suárez,2,Febrero de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,Escritos de marco Fidel Suárez,0.5,171,"Prólogo de Antonio Gómez Restrepo, Casa editorial de Arboleda & Valencia"
Revista Moderna. (Enciclopedia colombiana),50,La dirección,Director,NA,Colombia,El mirador de Próspero,2,Febrero de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,"El mirador de Próspero, José Enrique Rodó",0.5,171,NA
Revista Moderna. (Enciclopedia colombiana),51,La dirección,Director,NA,Colombia,Obras inéditas de Don Manuel Pombo,2,Febrero de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,Obras inéditas de don Manuel Pombo,0.3,172,"Prólogo de Antonio José Restrepo . Editadas por Camacho Roldán & Tamayo (Bogotá, 1914)"
Revista Moderna. (Enciclopedia colombiana),52,La dirección,Director,NA,Colombia,El Brasil a través de su historia,2,Febrero de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,El Brasil a través de su historia por Gustavo Arboleda R,0.3,172,"Carta proemio de Rafael Uribe Uribe, (Bogotá, MCMXIV, Arboleda & Valencia editores)"
Revista Moderna. (Enciclopedia colombiana),53,La dirección,Director,NA,Colombia,América Latina ante el peligro,2,Febrero de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,América Latina ante el peligro por Salvador R. Merlos,0.3,172,"Imprenta nueva de Gerardo Matamoros. San José de Costa Rica, 1914)"
Revista Moderna. (Enciclopedia colombiana),54,Anónimo,Creador,NA,NA,NA,2,Febrero de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,NA
Revista Moderna. (Enciclopedia colombiana),55,La dirección,Director,NA,Colombia,Revista Moderna. (Enciclopedia colombiana),3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,NA,Información de la revista
Revista Moderna. (Enciclopedia colombiana),56,Anónimo,Creador,NA,NA,NA,3,Marzo de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,8,NA,"Transferencias: anucios de libros .Diario de Bucaramanga o vida íntima del Libertador Simón Bolívar. Elegías caucanas, De París al Amazonas. La cuestión peruana. Colombia en la guerra de independencia. La cuestión venezolana. ""Proximamente llegará"" Historia secreta de Bolívar. ""De venta en las principales librerias. Los pedidos por mayor dirijanse a la Libreria de P. Ollendorff, Chausée d'Antin. París (40 por 100 de descuento)"""
Revista Moderna. (Enciclopedia colombiana),57,"Urrutia, Francisco José",Creador,NA,Colombia,El año internacional americano. 1914,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,9.2,173-183,NA
Revista Moderna. (Enciclopedia colombiana),58,"Moreau, Auguste",Creador,NA,Francia,Finanzas de la guerra,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,9,183-193,NA
Revista Moderna. (Enciclopedia colombiana),59,"Savage, R.H.",Creador,NA,Estados Unidos ,La desconocida,3,Marzo de 1915,Sí,NA,Español,Inglés,Prosa Ficción,Novela,NA,NA,25,193-218,Transferencia: traducción de novela
Revista Moderna. (Enciclopedia colombiana),60,"Cuervo Márquez, Emilio",Creador,NA,NA,Introducción al estudio de la filosofía de la historia,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,Conferencia,NA,NA,13.2,219-233,NA
Revista Moderna. (Enciclopedia colombiana),61,Anónimo,Creador,NA,NA,NA,3,Marzo de 1915,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,234,NA
Revista Moderna. (Enciclopedia colombiana),62,La dirección,Creador,NA,Colombia,Páginas olvidadas. Salvador Camacho Roldán,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,Comentario crítico,NA,NA,0.5,234,NA
Revista Moderna. (Enciclopedia colombiana),63,"Camacho Roldán, Salvador",Creador,NA,Colombia,El general Paéz (Recuerdos personales),3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,Páginas olvidadas,NA,NA,7.5,235-243,NA
Revista Moderna. (Enciclopedia colombiana),64,"Prudhomme, Sully",Creador,NA,NA,Decadencia del amor. (Inédito),3,Marzo de 1915,Sí,"Caro, Miguel Antonio",Español,Francés,Poesía,Poesía,NA,NA,1,244,NA
Revista Moderna. (Enciclopedia colombiana),65,La dirección,Creador,NA,Colombia,Revista Política,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,8.7,245-254,NA
Revista Moderna. (Enciclopedia colombiana),66,La dirección,Creador,NA,Colombia,Doctor José M. Buendía,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.7,255,NA
Revista Moderna. (Enciclopedia colombiana),67,La dirección,Creador,NA,Colombia,Ferrocarril del Pacífico,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,1.2,256-257,NA
Revista Moderna. (Enciclopedia colombiana),68,La dirección,Creador,NA,Colombia,Puerto Colombia,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.7,257,NA
Revista Moderna. (Enciclopedia colombiana),69,La dirección,Creador,NA,Colombia,Por la reforma parlamentaria,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.4,258,NA
Revista Moderna. (Enciclopedia colombiana),70,La dirección,Creador,NA,Colombia,Escultor colombiano,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.4,258,NA
Revista Moderna. (Enciclopedia colombiana),71,La dirección,Creador,NA,Colombia,Saludo,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.2,258,NA
Revista Moderna. (Enciclopedia colombiana),72,La dirección,Creador,NA,Colombia,Presupuestos nacionales,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.5,259,NA
Revista Moderna. (Enciclopedia colombiana),73,La dirección,Creador,NA,Colombia,Obito,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.3,259,NA
Revista Moderna. (Enciclopedia colombiana),74,La dirección,Reseñista,NA,Colombia,Nuestro folletín,3,Marzo de 1915,No,NA,Español,NA,Reseña,De la ciudad,NA,La desconocida de R.H. Savage,0.5,259-260,NA
Revista Moderna. (Enciclopedia colombiana),75,La dirección,Creador,NA,Colombia,En el númeto 4° de Revista Moderna,3,Marzo de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.2,260,NA
Revista Moderna. (Enciclopedia colombiana),76,La dirección,Reseñista,NA,Colombia,La Republique de Panama et le Conflit Americano-Colombien,3,Marzo de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,La Republique de Panama et le Conflit Americano-Colombien de Antoine Rougier,0.5,261,"Paris-A. Pedone, Editeur"
Revista Moderna. (Enciclopedia colombiana),77,La dirección,Reseñista,NA,Colombia,Sermones y discursos escogidos del doctor Rafael María Carrasquilla,3,Marzo de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,Sermones y discursos escogidos del doctor Rafael María Carrasquilla ,0.3,261,"Bogotá. Librería Americana, 1913"
Revista Moderna. (Enciclopedia colombiana),78,La dirección,Reseñista,NA,Colombia,Del Ávila al Monserrate,3,Marzo de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,Del Avilla al Monserrate por Pedro A. Peña,0.5,261-262,Prólogo Antonio Gómez Restrepo. (1913. Bogotá. Arboleda & Valencia)
Revista Moderna. (Enciclopedia colombiana),79,La dirección,Reseñista,NA,Colombia,Documentos sobre límites de los Estados Unidos de Colombia,3,Marzo de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,Documentos sobre los límites de los Estados Unidos de Colombia por Ricardo S Pereira,0.4,262,"(1883-París-P.Mouillot, editor)"
Revista Moderna. (Enciclopedia colombiana),80,La dirección,Ninguno de los anteriores,NA,Colombia,NA,3,Marzo de 1915,No,NA,Español,NA,Publicidad,Bibliografía,NA,NA,1,NA,NA
Revista Moderna. (Enciclopedia colombiana),81,Anónimo,Creador,NA,NA,NA,4,Abril de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,3,NA,NA
Revista Moderna. (Enciclopedia colombiana),82,Anónimo,Creador,NA,NA,"""La Patria""",4,Abril de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,0.25,NA,Anuncio sobre un peiódico
Revista Moderna. (Enciclopedia colombiana),83,Anónimo,Creador,NA,NA,Edición literaria dominical,4,Abril de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,0.25,NA,"""Corresponsales en París, Londres y Bruselas"""
Revista Moderna. (Enciclopedia colombiana),84,Anónimo,Creador,NA,NA,NA,4,Abril de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1.5,NA,"""Dentro de la publicidad está el BONO-PRIMA que reembolsa el valor de la Revista Moderna"
Revista Moderna. (Enciclopedia colombiana),85,"Mendoza, Diego",Creador,NA,Colombia,La doctrina de Bolívar,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,Historia nacional,NA,NA,7.6,263-271,NA
Revista Moderna. (Enciclopedia colombiana),86,"Ramos Urdaneta, Alfredo",Director,NA,Colombia,La tragedia de los Hapsburgos,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,Ciencias,NA,NA,6.4,271-278,NA
Revista Moderna. (Enciclopedia colombiana),87,"Ibáñez, Pedro María",Creador,NA,Colombia,Costumbres coloniales,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,Historia nacional,NA,NA,12,279-291,Capítulo inédito tomado del libro Crónicas de Bogotá de Pedro María Ibáñez
Revista Moderna. (Enciclopedia colombiana),88,Anónimo,Creador,NA,NA,NA,4,Abril de 1915,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,292,NA
Revista Moderna. (Enciclopedia colombiana),89,La dirección,Crítico,NA,Colombia,Don José Manuel Restrepo,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,Comentario crítico,NA,NA,0.7,292,NA
Revista Moderna. (Enciclopedia colombiana),90,"Restrepo, José Manuel",Creador,NA,Colombia,Diario de un emigrado,4,Abril de 1915,No,NA,Español,NA,Prosa Ficción,Páginas olvidadas,NA,NA,13,293-305,NA
Revista Moderna. (Enciclopedia colombiana),91,"Ferrero, Guillermo",Creador,NA,NA,La civilización Latina,4,Abril de 1915,Sí,Cornelio Hispano,Español,NA,Prosa No ficción,NA,NA,NA,10,306-316,NA
Revista Moderna. (Enciclopedia colombiana),92,La dirección,Director,NA,Colombia,Revista Política,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,Revista polpitica,NA,NA,7.4,317-325,NA
Revista Moderna. (Enciclopedia colombiana),93,"Valenzuela, Eduardo",Creador,NA,Chile,Las parisienses cosmopolitas,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,Información extranjera,Revista Moderna,NA,1.7,325-327,NA
Revista Moderna. (Enciclopedia colombiana),94,"Savage, R.H.",Creador,NA,Estados Unidos ,La desconocida,4,Abril de 1915,Sí,NA,Español,Inglés,Prosa Ficción,Novela,NA,NA,7.7,327-335,Transferencia: traducción. Parte de novela que estan publicando por partes
Revista Moderna. (Enciclopedia colombiana),95,La dirección,Creador,NA,Colombia,La fiesta del Rey de Bélgica,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,1.2,336-337,NA
Revista Moderna. (Enciclopedia colombiana),96,La dirección,Creador,NA,Colombia,El cónsul de Colombia en Nueva York,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.8,337,NA
Revista Moderna. (Enciclopedia colombiana),97,La dirección,Creador,NA,Colombia,Legación de losEstados Unidos,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.2,338,NA
Revista Moderna. (Enciclopedia colombiana),98,La dirección,Creador,NA,Colombia,Accidentes de trabajo,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,1.3,338-339,NA
Revista Moderna. (Enciclopedia colombiana),99,La dirección,Creador,NA,Colombia,Junta de limpia y canalizado,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.7,339-340,NA
Revista Moderna. (Enciclopedia colombiana),100,La dirección,Creador,NA,Colombia,Impuestos del consumo,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.8,340,NA
Revista Moderna. (Enciclopedia colombiana),101,La dirección,Creador,NA,Colombia,Obito,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.3,341,NA
Revista Moderna. (Enciclopedia colombiana),102,La dirección,Creador,NA,Colombia,En el número 5 de Revista Moderna,4,Abril de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.2,341,NA
Revista Moderna. (Enciclopedia colombiana),103,La dirección,Reseñista,NA,Colombia,Derecho internacional Privado,4,Abril de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,Dereco Internacional privado de Jualián Restrepo Hernández,0.4,341,Bogotá. Imprenta de la Luz. 1914
Revista Moderna. (Enciclopedia colombiana),104,La dirección,Reseñista,NA,Colombia,De París al Amazonas. Las Fieras del Putumayo,4,Abril de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,De París al Amazonas. Las Fieras del Putumayo de Cornelio Hispano (Ismael López),0.8,341-342,París. Librería Paul Ollendorff
Revista Moderna. (Enciclopedia colombiana),105,La dirección,Reseñista,NA,Colombia,El Río de la Plata,4,Abril de 1915,No,NA,Español,NA,Reseña,Bibliografía,NA,El Río de la Plata de R.B. Cunninghame Graham,0.4,342,Londres. 1914
Revista Moderna. (Enciclopedia colombiana),106,Anónimo,Creador,NA,NA,NA,4,Abril de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1.5,NA,NA
Revista Moderna. (Enciclopedia colombiana),107,Anónimo,Creador,NA,NA,Obras de Cornelio Hispano,4,Abril de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,NA,"Las obras que promocionan son: Diario de Bucaramanga, o vida íntiama del Libertador Simón Bolívar. Elegías Caucanas. De París al Amazonas. La Cuestión Peruana. Colombia en la guerra de la independencia. La cuestión venezolana. Histoia secreta de Bolívar"
Revista Moderna. (Enciclopedia colombiana),108,Anónimo,Creador,NA,NA,NA,4,Abril de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,2,NA,NA
Revista Moderna. (Enciclopedia colombiana),109,Anónimo,Creador,NA,NA,Aviso,4,Abril de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,Aviso de los directores de la revista sobre los deudores y lo que los agentes deben hacer
Revista Moderna. (Enciclopedia colombiana),110,Anónimo,Creador,NA,NA,NA,5,Mayo de 1915,No,NA,Español,NA,Publicidad,NA,NA,NA,3,NA,NA
Revista Moderna. (Enciclopedia colombiana),111,"Zapata, Felipe",Creador,NA,Colombia,Nacionalización de ferrocarriles,5,Mayo de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,9,343-352,"Felipe Zapata es el ""Gerente del Ferrocarril de la Sabana"""
Revista Moderna. (Enciclopedia colombiana),112,"Mendoza, Diego",Creador,NA,Colombia,La doctrina de Bolívar (Conclusión),5,Mayo de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,9.7,353-363,NA
Revista Moderna. (Enciclopedia colombiana),113,"Bellaigue, Camile",Creador,NA,Francia,La ciudad eterna,5,Mayo de 1915,Sí,NA,Español,Francés,Prosa Ficción,NA,NA,NA,5,363-369,"Transferencia: traducción. Dentro del texto no dicen que es una traducción , VERIFICAR"
