Nombre de la revista,Número de la contribución,Autor de la contribución,Roles,Seudónimo / Abreviatura del nombre,País de origen,Título de la contribución,Número del fascículo,Fecha de publicación,Traducción,Traductor,Lengua en la que aparece en la revista,Lengua original [si es traducción],Tipo de contribución [Género según investigador],Tipo de contribución según la revista,Dedicatoria,Obras reseñadas [solo se indica para el caso de las reseñas],Cantidad de páginas,Paginación,Comentarios
Panida,16,NA,Creador,Cebrián de Amocete,Colombia,"Del libro ""Don Juan Manuel de Padilla""",1,1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,11-12,
Panida,17,Arturo Graf,Creador,NA,España,Morte Regina,1,1915,Sí,Enrique Díez Canedo ,Español,Italiano,Poesía,NA,NA,NA,1,13,
Panida,18,NA,Creador,El Visir GULLIVER,Colombia,Al Crayon,1,1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,13-14,
Panida,19,Redacción,Creador,⁂,Colombia,NA,1,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,15,
Panida,20,Redacción,Creador,⁂,Colombia,NA,1,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,15,
Panida,21,Ivan Turganeff,Creador,NA,Rusia,NA,1,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,15,
Panida,22,Redacción,Creador,⁂,Colombia,NA,1,1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,15-16,
Panida,23,NA,Creador,NA,NA,Arturo Graf,1,1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,16,Semblanza
Panida,24,Juan Ramón Jiménez,Creador,NA,España,Páginas Dolorosas,1,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,16,
Panida,25,Jesús A. Merino,NA,NA,Colombia,Salón París,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,26,Antonio J. Uribe,NA,NA,Colombia,Antonio J. Uribe,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,"Se anuncia que el susodicho comercia con máquinas de escribir y se encuentra en el café El Globo, donde se reunían los panidas [esta publicidad se repite en otros números]"
Panida,27,NA,NA,NA,Colombia,La reina,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,Marca de harina [esta publicidad se repite en otros números]
Panida,28,NA,NA,NA,Colombia,Jaime Serra,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,"Vendedor de vinos. También figura el nombre de Rafael Navarro y Compañía, pero no en el encabezado [esta publicidad se repite en otros números]"
Panida,29,NA,NA,NA,Colombia,Vino de Carne Quinado,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,Medicamento [esta publicidad se repite en otros números]
Panida,30,NA,NA,NA,Colombia,"Los fósforos ""Olano""",1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,31,L. Gómez,NA,NA,Colombia,L. Gómez Cirujano dentista,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,32,Laureano Merino,NA,NA,Colombia,"Gran surtido de corsés ""Warner's"" ",1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,33,NA,NA,NA,Colombia,Talleres de aplanchado eléctrico,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,34,Eleázar Arango Ferrer / Emilio Correa U.,NA,NA,Colombia,Cemento antioqueño,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,Se publicita este cemento mostrando un comprobante de contratación para construir la estación del ferrocarril de Medellín [esta publicidad se repite en otros números]
Panida,35,Teodomiro Isaza / Félix Mejía Arango,Creador,Helena de MAIA,Colombia,Almas Humanas,2,1915,No,NA,Español,NA,Poesía,NA,NA,NA,3,17-19,"Algunas fuentes le dan este pseudónimo a Teodomiro Isaza, pero otras insinúan que también pudo intervenir Félix Mejía [esta publicidad se repite en otros números]"
Panida,36,León de Greiff,Creador,Juan CRISTÓBAL,Colombia,Omar Khayyam,2,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,19,
Panida,37,Francisco Villa López,Creador,V. de LUSSICH,Colombia,Del parque,2,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,20,
Panida,38,Jorge Villa Carrasquilla,Creador,M. Carré,Colombia,Como un río,2,1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,20-21,
Panida,39,AB. FARINA,Creador,NA,Colombia,Evocación,2,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,22,
Panida,40,M. Rodríguez-Rendueles,Creador,NA,España,A Paul Verlaine,2,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,22,
Panida,41,Jesús Restrepo Olarte,Creador,Jean GÉNIER,Colombia,Feas,2,1915,No,NA,Español,NA,Poesía,NA,Tomás Márquez,NA,2,23-24,
Panida,42,Rafael Jaramillo Arango,Creador,Fernando Villalba,Colombia,La Historia de Zulema,2,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,25,
Panida,43,Félix Mejía Arango,Creador,C. R. Pino,Colombia,Como quiero mi amor,2,1915,No,NA,Español,NA,Poesía,NA,C. Mejía M.,NA,1,26,
Panida,44,Giovanni Papini,Creador,NA,Italia,Elegía por lo que no fue,2,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,27-28,
Panida,45,Francis Jammes,Creador,NA,Francia,Cette Persone…,2,1915,No,E. Díez-Canedo,Español,Francés,Poesía,NA,NA,NA,2,28-29,
Panida,46,Libardo Parra Toro,Creador,NA,Colombia,Tierra Fría,2,1915,No,NA,Español,NA,Poesía,NA,M. Carré,NA,1,29,
Panida,47,León de Greiff,Creador,Leo LEGRIS,Colombia,Balada Desolada,2,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,30,
Panida,48,NA,Creador,NA,Colombia,Francis Jammes,2,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,31,Semblanza
Panida,49,José Ingenieros,Creador,NA,Argentina,NA,2,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,31,
Panida,50,Redacción,Creador,⁂,Colombia,NA,2,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,31,Declaración de pseudónimos
Panida,51,Redacción,Creador,⁂,Colombia,Omar Khayyam,2,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,31,Semblanza
Panida,52,Edgar POE,Creador,NA,Estados Unidos ,NA,2,1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,31,
Panida,53,Redacción,Creador,⁂,Colombia,NA,2,1915,No,NA,Español,NA,Reseña,NA,NA,El jardín de Berenice (Maurice Barrés),1,32,
Panida,54,Stephane Mallarmé,Creador,NA,Francia,NA,2,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,32,
Panida,55,NA,Creador,NA,Colombia,Giovanni Papini,2,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,32,Semblanza
Panida,56,Oscar Wilde,Creador,NA,Reino Unido,NA,2,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,32,
Panida,57,NA,NA,NA,Colombia,"""Panida""",3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,58,Ricardo Rendón,Creador,NA,Colombia,Tomás Carrasquilla,3,1915,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA,
Panida,59,Peter Altenberg,Creador,NA,Austria,Autobiografía,3,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,33-34,
Panida,60,Juan Ramón Jiménez,Creador,NA,España,Fragmento,3,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,34,
Panida,61,Antonio J. Cano,Creador,NA,Colombia,Rimas Orientales,3,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,35,
Panida,62,Ricardo Rendón,Creador,Daniel ZEGRI,Colombia,"""Ego te absolvo""",3,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,36,
Panida,63,Oscar Wilde,Creador,NA,Reino Unido,El discípulo,3,1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,36-37,
Panida,64,Félix Mejía Arango,Creador,C. R. P.,Colombia,Palabras,3,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,37,
Panida,65,Rafael Jaramillo Arango,Creador,Fernando Villalba,Colombia,Mithos por tu amor…,3,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,38,
Panida,66,André SUARÉZ,Creador,NA,Francia,Le Ressucité,3,1915,Sí,Jesús Restrepo Olarte,Español,Francés,Poesía,NA,NA,NA,2,39-40,
Panida,67,Félix Mejía Arango,Creador,C. R. Pino,Colombia,"Una página del ""Libro de mis pecados""",3,1915,No,NA,Español,NA,Poesía,NA,V. de Lussich,NA,1,40,
Panida,68,Jorge Villa Carrasquilla,Creador,M. Carré,Colombia,Primeras paradas,3,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,41,
Panida,69,Eduardo Vasco,Creador,Alhy CAVATINI,Colombia,Epistolario sentimental,3,1915,No,NA,Español,NA,Poesía,NA,Maruja,NA,2,42-43,
Panida,70,León de Greiff,Creador,Leo LEGRIS,Colombia,Baladas Desoladas,3,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,44,
Panida,71,Jesús Restrepo Olarte,Creador,Xavier de LYS,Colombia,Salida del Baile,3,1915,No,NA,Español,NA,Poesía,NA,Fernando Villalba,NA,2,45-46,
Panida,72,Redacción,Creador,⁂,Colombia,Antonio J. Cano,3,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,47,Semblanza
Panida,73,Rubén Darío,Creador,NA,Nicaragua,NA,3,1915,,NA,Español,NA,Poesía,NA,NA,NA,1,47,
Panida,74,Redacción,Creador,⁂,Colombia,Oscar Wilde,3,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,47,Semblanza
Panida,75,Redacción,Creador,⁂,Colombia,Abel Farina,3,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,47-48,Semblanza
Panida,76,Paul Fort,Creador,NA,Francia,NA,3,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,48,
Panida,77,Azorín,Creador,NA,España,NA,3,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,48,
Panida,78,Arturo Schopenhauer,Creador,NA,Alemania,NA,3,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,48,
Panida,79,NA,NA,NA,Colombia,Almacén británico,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,80,Guillermo Vélez,NA,NA,Colombia,Ebanistería Guillermo Vélez ,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,81,NA,NA,NA,Colombia,Dibujo-pintura-grabado,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,82,J. Toro Isaza,NA,NA,Colombia,Gestos maletas y alforjones,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,83,Gabriel Uribe Lince,NA,NA,Colombia,Lavado y planchado a vapor,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,84,NA,NA,NA,Colombia,Osorio-Ángel Ingenieros,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,85,Jesús A. Merino,NA,NA,Colombia,Salón París,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,86,Antonio J. Uribe,NA,NA,Colombia,Antonio J. Uribe,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,87,NA,NA,NA,Colombia,La reina,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,88,NA,NA,NA,Colombia,Vino de Carne Quinado,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,89,NA,NA,NA,Colombia,"Los fósforos ""Olano""",3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,90,L. Gómez,NA,NA,Colombia,L. Gómez Cirujano dentista,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,91,Laureano Merino,NA,NA,Colombia,"Gran surtido de corsés ""Warner's"" ",3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,92,NA,NA,NA,Colombia,Talleres de aplanchado eléctrico,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,93,Eleázar Arango Ferrer / Emilio Correa U.,NA,NA,Colombia,Cemento antioqueño,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,94,Daniel Posada,NA,NA,Colombia,Sastrería Francesa,3,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,95,NA,NA,NA,Colombia,"""Panida""",4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,96,NA,NA,NA,Colombia,Almacén británico,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,97,NA,NA,NA,Colombia,El Chic',4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,"Otro almacén de ropa, esta vez femenina [esta publicidad se repite en otros números]"
Panida,98,NA,NA,NA,Colombia,Dibujo-pintura-grabado,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,99,J. Toro Isaza,NA,NA,Colombia,Gestos maletas y alforjones,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,100,Gabriel Uribe Lince,NA,NA,Colombia,Lavado y planchado a vapor,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,101,Ricardo Rendón,Creador,NA,Colombia,Jesús Restrepo Rivera,4,1915,No,NA,Español,NA,Imagen,NA,NA,NA,1,NA,
Panida,102,J. Restrepo Rivera,Creador,NA,Colombia,Fabla Doliente,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,NA,
Panida,103,Teodomiro Isaza / Félix Mejía Arango,Creador,Helena de MAIA,Colombia,Almas Humanas,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,49-50,
Panida,104,J. Restrepo Rivera,Creador,NA,Colombia,Fabla Doliente,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,51,
Panida,105,Rubén Darío,Creador,NA,Nicaragua,Stella,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,52-53,
Panida,106,Ricardo Rendón,Creador,Daniel ZEGRI,Colombia,Llueve,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,53,
Panida,107,Félix Mejía Arango,Creador,C. R. Pino,Colombia,Sol,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,54,
Panida,108,Félix Mejía Arango,Creador,C. R. Pino,Colombia,Salomé,4,1915,No,NA,Español,NA,Poesía,NA,E. Velasco G.,NA,1,54,
Panida,109,Félix Mejía Arango,Creador,C. R. Pino,Colombia,Ofrenda,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,55,
Panida,110,Armand Silvestre,Creador,NA,Francia,El botón de Rosa,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,55,
Panida,111,Sophus Claussen,Creador,NA,Dinamarca,A une morte,4,1915,No,Jesús Restrepo Olarte,Español,NA,Poesía,NA,Ingeborg Stuckenberg,NA,2,56-57,
Panida,112,Jesús Restrepo Olarte,Creador,Xavier de LYS,Colombia,Panida,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,58,
Panida,113,Rafael Jaramillo Arango,Creador,Fernando Villalba,Colombia,Cuenta de cómo fizo las rimas que dijole Don Amor,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,59,
Panida,114,Omar Khayyam,Creador,NA,Irán,Los Rubayata,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,3,59-61,"El autor es persa, pero el excel solo permite ingresar el país actual "
Panida,115,Jorge Villa Carrasquilla,Creador,M. Carré,Colombia,Menade,4,1915,No,NA,Español,NA,Poesía,NA,Paco Trelles,NA,1,62,
Panida,116,Jesús Restrepo Olarte,Creador,Jean GÉNIER,Colombia,Lucem Tuam,4,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,62,
Panida,117,Francisco Villa López,Creador,V. de LUSSICH,Colombia,J. Restrepo Rivera,4,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,63,Semblanza
Panida,118,NA,Creador,NA,Colombia,Armand Silvestre,4,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,63,Semblanza
Panida,119,Francisco Villaespesa,Creador,NA,España,NA,4,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,63-64,
Panida,120,Redacción,Creador,⁂,Colombia,Alpha,4,1915,No,NA,Español,NA,Reseña de revista,NA,NA,Alpha,1,64,
Panida,121,Redacción,Creador,⁂,Colombia,NA,4,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,64,
Panida,122,NA,NA,NA,Colombia,Osorio-Ángel Ingenieros,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,123,Jesús A. Merino,NA,NA,Colombia,Salón París,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,124,Antonio J. Uribe,NA,NA,Colombia,Antonio J. Uribe,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,125,NA,NA,NA,Colombia,La reina,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,126,NA,NA,NA,Colombia,Vino de Carne Quinado,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,127,NA,NA,NA,Colombia,"Los fósforos ""Olano""",4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,128,L. Gómez,NA,NA,Colombia,L. Gómez Cirujano dentista,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,129,Lázaro Tobón,NA,NA,Colombia,Lazaro Tobón Abogado,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,"Ubicado en el Edificio Central, el mismo en el que imprimían Panida [esta publicidad se repite en otros números]"
Panida,130,NA,NA,NA,Colombia,Talleres de aplanchado eléctrico,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,131,Eleázar Arango Ferrer / Emilio Correa U.,NA,NA,Colombia,Cemento antioqueño,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,132,Daniel Posada,NA,NA,Colombia,Sastrería Francesa,4,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,133,Teodomiro Isaza / Félix Mejía Arango,Creador,Helena de MAIA,Colombia,Almas Humanas,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,65-66,
Panida,134,Ricardo Rendón,Creador,Daniel ZEGRI,Colombia,Florecillas,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,67,
Panida,135,José Montoya,Creador,NA,Colombia,Abnegación,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,68,
Panida,136,León de Greiff,Creador,Leo LEGRIS,Colombia,Baladas Desoladas,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,69,
Panida,137,Félix Mejía Arango,Creador,C. R. Pino,Colombia,Jardín de amor,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,70,
Panida,138,Azorín,Creador,NA,España,Jardín junto a la vía,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,71,
Panida,139,Teodomiro Isaza,Creador,Mosén Canijo,Colombia,Angelus,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,72,
Panida,140,Libardo Parra Toro,Creador,NA,Colombia,Contraste ,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,72,
Panida,141,Jorge Villa Carrasquilla,Creador,M. Carré,Colombia,Primeras paradas,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,72,
Panida,142,Jesús Restrepo Olarte,Creador,Xavier de LYS,Colombia,Con los perfumes de las cosas idas,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,73,
Panida,143,Eduardo Vasco,Creador,Alhy CAVATINI,Colombia,Epistolario sentimental,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,3,73-75,
Panida,144,Fernando González,Creador,NA,Colombia,Meditaciones,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,75-76,
Panida,145,Leopoldo Díaz,Creador,NA,Colombia,Oda breve a Gonzalo de Berceo,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,76-77,
Panida,146,Evaristo Carriego,Creador,NA,Argentina,El clavel,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,78,
Panida,147,Evaristo Carriego,Creador,NA,Argentina,En el café,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,78,
Panida,148,Redacción,Creador,⁂,Colombia,Azorín,5,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,79,Semblanza
Panida,149,Redacción,Creador,⁂,Colombia,España,5,1915,No,NA,Español,NA,Reseña de revista,NA,NA,"Helios, Renacimiento.",1,79,
Panida,150,José Francés,Creador,NA,España,NA,5,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,80,
Panida,151,Redacción,Creador,⁂,Colombia,NA,5,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,80,
Panida,152,Andrés González Blanco,Creador,NA,España,NA,5,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,80,
Panida,153,NA,NA,NA,Colombia,"""Panida""",6,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,154,NA,NA,NA,Colombia,Almacén británico,6,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,155,NA,NA,NA,Colombia,El espectador,6,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,156,NA,NA,NA,Colombia,´Progreso,6,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,Publicación de la Sociedad de Mejoras Públicas [esta publicidad se repite en otros números]
Panida,157,NA,NA,NA,Colombia,El correo liberal,6,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,158,NA,NA,NA,Colombia,Dibujo-pintura-grabado,6,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,159,J. Toro Isaza,NA,NA,Colombia,Gestos maletas y alforjones,6,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,160,Gabriel Uribe Lince,NA,NA,Colombia,Lavado y planchado a vapor,6,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,161,Ricardo Rendón,Creador,NA,Colombia,Abel Farina,6,1915,No,NA,Español,NA,Imagen,NA,NA,NA,1,NA,
Panida,162,Antonio María Restrepo,Creador,Abel Farina,Colombia,Epicedio,6,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,NA,
Panida,163,Don Ramón de Valle Inclán,Creador,NA,España,"De ""Sonata de estío"" ",6,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,81-82,
Panida,164,Roberto Jaramillo A.,Creador,NA,Colombia,"Sobre ""Crisálidas""",6,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,82-83,
Panida,165,Becquer,Creador,NA,España,Rima,6,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,83,
Panida,166,Francis Jammes,Creador,NA,Francia,La inteligencia,6,1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,84,
Panida,167,Félix Mejía Arango,Creador,C. R. Pino,Colombia,Cántiga de amistanzas de las Fijas Indias a la Madre España,6,1915,No,NA,Español,NA,Poesía,NA,J. Restrepo Rivera,NA,2,84-85,
Panida,168,José Manuel Mora,Creador,Juan Manuel Montenegro,Colombia,La abuelita,6,1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,86-87,
Panida,169,León de Greiff,Creador,Juan CRISTÓBAL,Colombia,Gesta dolens,6,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,87,
Panida,170,Rafael Jaramillo Arango,Creador,Fernando Villalba,Colombia,Tankas,6,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,88-89,
Panida,171,Francisco Villa López,Creador,V. de LUSSICH,Colombia,Estancia,6,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,90,
Panida,172,Libardo Parra Toro,Creador,NA,Colombia,Rasgos,6,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,90,
Panida,173,Eduardo Vasco,Creador,Alhy CAVATINI,Colombia,Epistolario sentimental,6,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,91,
