Nombre de la revista,Número de la contribución,Autor de la contribución,Roles,Seudónimo / Abreviatura del nombre,País de origen,Título de la contribución,Número del fascículo,Fecha de publicación,Traducción,Traductor,Lengua en la que aparece en la revista,Lengua original [si es traducción],Tipo de contribución [Género según investigador],Tipo de contribución según la revista,Dedicatoria,Obras reseñadas [solo se indica para el caso de las reseñas],Cantidad de páginas,Paginación,Comentarios
Revista Alas,20,Anónimo,Creador,NA,Colombia,¡QUIEN ES EL MAESTRO PAIBA?,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,Comentarios del momento,NA,NA,0.4,13,Comentario sobre la identidad de un polémico colaborador.
Revista Alas,21,Anónimo,Creador,NA,Colombia,SEMANA DE LA CRUZ ROJA,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,Comentarios del momento,NA,NA,0.2,13,NA
Revista Alas,22,Anónimo,Creador,NA,Colombia,SEMANARIO,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,Comentarios del momento,NA,NA,0.1,13,Anuncio sobre un nuevo periodíco semanal en Antioquia llamado el Mercurio y dirigido por Botero Llano. Una errata: publicacióu en vez de publicación.
Revista Alas,23,Anónimo,Creador,NA,Colombia,SINDICATO GRAFICO,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,Comentarios del momento,NA,NA,0.2,13,Se anuncia la personería jurídica del Sindicato Gráfico de tipógrafos. 
Revista Alas,24,"Álvarez, Lisandro",Creador,NA,Colombia,ENJALMA sobre ENJALMA,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,Original para «Alas»,NA,NA,1.9,"14, 15, 26","Usa el anglicismo ""mister"". Una posible errata: ""señog""."
Revista Alas,25,Anónimo,Creador,NA,NA,"CARLEYA Blanquea, Suaviza y embellece la piel",6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.1,14,No tiene ilustraciones.
Revista Alas,26,Anónimo,Creador,NA,Colombia,Imposible producir algo mejor para,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.5,15,Publicidad de cigarrillos La cruz.
Revista Alas,27,"Tejada, Luis",Ninguno de los anteriores,NA,Colombia,El amor y el Dolor de Muelas,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,Gotas de tinta,NA,NA,0.7,16,Este autor refleja una intensa mirada hacia las mujeres y lo femenino en sus escritos.
Revista Alas,28,Anónimo,Creador,NA,Colombia,CUPON DE SUSCRIPCION,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,16,Los precios del semestre desuscripción rodó entre los $0.50 y el añó en valor de $1.00
Revista Alas,29,Anónimo,Creador,NA,Colombia,No soy fumadora pero…,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,1,NA,Anuncio publicitario de indumentaria femenina. Tiene dos ilustraciones de mujeres a color. El papel es diferente.
Revista Alas,30,Anónimo,Ilustrador,NA,NA,Damas Medellinenses,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,NA,Fotografía a blanco y negro de la Sta. Yolanda Mejía. No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente.
Revista Alas,31,Anónimo,Ilustrador,NA,NA,Damas Medellinenses,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,NA,Fotografía a blanco y negro de la Sta. Blanca Piedrahíta. No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente.
Revista Alas,32,Anónimo,Ilustrador,NA,NA,Damas Medellinenses,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,NA,Fotografía a blanco y negro de Amanda Escobar. No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente.
Revista Alas,33,Anónimo,Ilustrador,NA,NA,Matrimonio,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,NA,Fotografía a blanco y negro de Dn. Esduardo Mejía Vélez y Dña. Teresa Correa Uribe. No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente.
Revista Alas,34,Anónimo,Ilustrador,NA,NA,Los niños,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.1,NA,"Fotografía a blanco y negro de Jorge Sanín Sader, hijo de Dn. Gabriel Sanín Tobón y Dña. Fanny Sader de Sanín. No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente."
Revista Alas,35,Anónimo,Ilustrador,NA,NA,De Teatro,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,Original para «Alas»,NA,NA,0.3,NA,Fotografía a blanco y negro de la artista Vilma Vidal. No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente.
Revista Alas,36,Anónimo,Ilustrador,NA,NA,NA,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,NA,Fotografía a blanco y negro de una dama vistiendo de traje de enfermera de la Cruz Roja. No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente.
Revista Alas,37,Anónimo,Ilustrador,NA,NA,NA,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,NA,Fotografía a blanco y negro del equipo femenino de Basket-Ball Blanco y Negro que fue ganador en el juego pasado. No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente. Uso del anglicismo team.
Revista Alas,38,Anónimo,Ilustrador,NA,NA,NA,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,NA,"Fotografía a blanco y negro de enfermeras de la Cruz Roja, Germán Olano, el cónsul de Colombia en New York y el Dr. Pomponio Guzmán,el presidente de la Cruz Roja en New York.  No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente."
Revista Alas,39,Anónimo,Creador,NA,NA,SD,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,NA,Publicidad con ilustraciones.
Revista Alas,40,Anónimo,Ilustrador,NA,NA,NA,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,NA,Fotografía sensual a blanco y negro de la actriz Vilma Vidal. No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente.
Revista Alas,41,Anónimo,Ilustrador,NA,NA,NA,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,NA,"Fotografía a blanco y negro del equipo femenino de Basket-Ball Blanco y Verde Jr, quienes perdieron en el juego pasado. No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente. Uso del anglicismo team."
Revista Alas,42,Anónimo,Ilustrador,NA,NA,NA,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.4,NA,Fotografía sensual a blanco y negro de la actriz Luisita Rodríguez de la compañía Teatro Bolívar. No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente.
Revista Alas,43,Anónimo,Ilustrador,NA,NA,NA,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.1,NA,Dibujante que parece recurrente ihace una aproximación a la figura del misteriosos Balbino Paiba. El tipo de papel es diferente.
Revista Alas,44,Anónimo,Ilustrador,NA,NA,NA,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,NA,Fotografía a blanco y negro de diez bloques de oro de la Casa de Moneda de Medellín.  No se menciona la fecha ni el autor de la fotografía. Tipo de papel diferente.
Revista Alas,45,Anónimo,Ilustrador,NA,NA,FLORENTINA,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,Pintores de Antioquia,NA,NA,0.4,NA,"""FLORENTINA"" pintura al óleo de Pedro Nel Gómez. Se menciona que fue expuesta en Roma. No se hace mención al fotográfo ni la fecha en que el cuadro fue pintado. El tipo de papel es diferente."
Revista Alas,46,Anónimo,Ilustrador,NA,NA,Retrato de pintor,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,Pintores de Antioquia,NA,NA,0.2,NA,"""Retrato de pintor"" cuadro del pintor Ignacio Gómez Jaramillo, quien está triunfando en el exterior.  El tipo de papel es diferente."
Revista Alas,47,Anónimo,Ilustrador,NA,NA,Bodegón,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,De los Artistas nuestros,NA,NA,0.2,NA,"""Bodegón"" dibujo del pintor Ignacio Gómez Jaramillo.  El tipo de papel es diferente y el color de la impresión es azúl."
Revista Alas,48,"Vieco Ortíz, Luis Eduardo",Ilustrador,L. E. Vieco.,NA,NA,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,De los Artistas nuestros,NA,NA,0.3,NA,Estudio a lápiz del colaborador L. E. Vieco. El tipo de papel es diferente y el color de la impresión es azúl. Información del artista: https://www.marinvieco.com/luis-eduardo-vieco-ortiz/
Revista Alas,49,Anónimo,Ilustrador,NA,NA,NA,6,Junio 10 de 1933,No,NA,NA,NA,Imagen,De los Artistas nuestros,NA,NA,0.1,NA,Fotografía de mujeres enfermeras quienes acompañan la colecta para la Cruz Roja. No se menciona la fecha ni el autor de la fotografía. El tipo de papel es diferente y el color de la impresión es azúl.
Revista Alas,50,"Restrepo, Santiago",Ninguno de los anteriores,NA,Colombia,BANCARROTA ASRTISTICA,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,NA,NA,NA,0.8,25,Mirar detenidamente porque hay posibles transferencias: autores y artefactos.
Revista Alas,51,Anónimo,Creador,NA,Colombia,Agencia Mortuoria de JOSE DENDON E.,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.2,25,NA
Revista Alas,52,Anónimo,Creador,NA,Colombia,NUEVO DIRECTORIO TELEFONICO,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,26,Publicidad de Empresas públicas municipales
Revista Alas,53,Anónimo,Creador,NA,Colombia,CUIDADO CON LA PIEL señora!,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.2,26,Publicidad dirigida a público femenino. Tiene una ilustración femenina.
Revista Alas,54,Anónimo,Creador,R. del Valle Inclán,NA,MI BISABUELO,6,Junio 10 de 1933,No,NA,NA,NA,Prosa Ficción,NA,NA,NA,1.7,"27, 28, 34",NA
Revista Alas,55,Anónimo,Creador,NA,NA,TOME NERVAL,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,27,Publicidad sobre medicamentos.
Revista Alas,56,Anónimo,Creador,NA,NA,HOMBRE DE NEGOCIOS,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.5,28,publicidad sobre loterías en Medellín.
Revista Alas,57,Anónimo,Ninguno de los anteriores,Scaraface,NA,Greta Garbo murió hace 3 años…,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,LA CRONICA,NA,NA,0.6,29,El autor usa seudónimo. Mina de transferencias culturales. En números anteriores aparecen fotografías de Greta Garbo.
Revista Alas,58,Anónimo,Ninguno de los anteriores,NA,Colombia,NA,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,NA,NA,NA,0.1,29,Anuncio de la revista.
Revista Alas,59,Anónimo,Creador,NA,NA,VAGINOL,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,29,Publicidad dirigida a público femenino. Tiene una ilustración femenina.
Revista Alas,60,Anónimo,Creador,NA,NA,Crema Divina,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.5,30,Publicidad dirigida a público femenino. Tiene una mujer fotografiada.
Revista Alas,61,Anónimo,Creador,NA,NA,¿Pura?,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,31,Publicidad dirigida a público femenino. Tiene una ilustración femenina.
Revista Alas,62,Anónimo,Creador,NA,NA,TODO MEDELLIN ocupa el Tranvia,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.5,32,Publicidad sobre medios de transporte.
Revista Alas,63,Anónimo,Creador,NA,NA,QUIEN PRUEBA KO-KANA NO TOMA OTRA BEBIDA,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,33,Publicidad dirigida a público femenino. Tiene una ilustración femenina.
Revista Alas,64,Anónimo,Creador,NA,NA,VESTIR EN LA SASTRERÍA MODELO es saber ser elegante,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,33,Publicidad sobre moda y textiles.
Revista Alas,65,"Torres Durán, Carlos",Creador,NA,Colombia,EL PUEBLECITO,6,Junio 10 de 1933,No,NA,NA,NA,Poesía,POEMAS EN PROSA,NA,NA,0.2,34,NA
Revista Alas,66,"Torres Durán, Carlos",Creador,NA,Colombia,LA LLUVIA,6,Junio 10 de 1933,No,NA,NA,NA,Poesía,POEMAS EN PROSA,NA,NA,0.2,34,NA
Revista Alas,67,Mortimer Gray,Creador,NA,NA,Mujeres junto a Lord Byron,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,1.4,"35, 36",El autor usa seudónimo. Mina de transferencias culturales. Referencia a poetas ingeleses del siglo XIX y a Edgard Allan Poe.
Revista Alas,68,Anónimo,Creador,NA,NA,BARCOS DE GRAN LUJO PROXIMAS SALIDAS,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,35,Publicidad sobre medios de transporte. Posible transferencia.
Revista Alas,69,Anónimo,Creador,NA,NA,ES HORA DE HACER una completa vajilla de loza ESTILO JAPONES,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,36,Publicidad con ilustración.
Revista Alas,70,"Echeverri Peláez, Alfonso",Creador,NA,Colombia,APUNTES DEPORTIVOS,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,NA,NA,NA,1.2,"37, 38","Estos apuntes deportivos están divididos en subtitulos: CAMPEONATO DE FUTBOL, DE RAQUETA, BASKETBOL."
Revista Alas,71,Anónimo,Ninguno de los anteriores,NA,Colombia,La defensa del coronel Rafael Uribe Uribe,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,NA,NA,NA,0.1,37,Anuncio sobre novedades editoriales de la Librería Búffalo.
Revista Alas,72,Anónimo,Ninguno de los anteriores,NA,Colombia,CONCURSO DE VITRINAS,6,Junio 10 de 1933,No,NA,NA,NA,Prosa No ficción,NA,NA,NA,0.1,37,Anuncio concurso de vitrinas por parte de la Agencia O. K. a quienes se les publica su publicidad en la revista.
Revista Alas,73,Anónimo,Creador,NA,NA,Electricidad barata,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,37,Publicidad de EE. PP. MM.
Revista Alas,74,Anónimo,Creador,NA,NA,Sastrería y Almacén de Paños Rafael Arango R.,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,38,Publicidad de moda y textiles. Fotografía de dos niños a blanco y negro.
Revista Alas,75,Anónimo,Creador,NA,NA,PARA VIAJAR BIEN NAVIERA COLOMBIANA,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,1,NA,Publicidad que habitualmente aparece la hoja de respaldo de la portada. El tipo de papel es diferente y se usan colores verdes y vinotintos.
Revista Alas,76,Anónimo,Creador,NA,NA,UNA SINCERA INSINUACION,6,Junio 10 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,1,NA,Se trata de la contraportada. Aviso publicitario de lencería femenina con ilustraciones. Usa colores rojo y azul en un fondo blanco. El tipo de papel es diferente. Usa margenes.
Revista Alas,1,"Vieco Ortíz, Luis Eduardo",Ilustrador,Luis E. Vieco,Colombia,NA,7,Junio 24 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA,Se trata de la portada. Esta contiene una obra del artista Luis E. Vieco. Usa el color verde y negro. Información del artista: https://www.marinvieco.com/luis-eduardo-vieco-ortiz/
Revista Alas,2,Anónimo,Creador,NA,NA,NAVIERA COLOMBIANA,7,Junio 24 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,1,NA,El diseño de este anuncio publicitario es diferente a entregas anteriores. Uso del color verde y negro en la impresión.
Revista Alas,3,Anónimo,Creador,Balbino Paiba,Colombia,El Poeta Ciro Mendía,7,Junio 24 de 1933,No,NA,NA,NA,Prosa No ficción,TERCER ARTÍCULO DEL MAESTRO PAIBA,NA,NA,0.4,3,"Referencias a Lope de Vega y ""Guillermo"" Shekespeare."
Revista Alas,4,Anónimo,Creador,NA,NA,NA,7,Junio 24 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.2,3,NA
Revista Alas,5,Anónimo,Ninguno de los anteriores,NA,Colombia,SIGUE EL MAESTRO PAIBA,7,Junio 24 de 1933,No,NA,NA,NA,Prosa No ficción,Comentarios del momento,NA,NA,0.2,6,NA
Revista Alas,6,Anónimo,Ninguno de los anteriores,NA,Colombia,CONCURSO LITERARIO,7,Junio 24 de 1933,No,NA,NA,NA,Prosa No ficción,Comentarios del momento,NA,NA,0.2,6,Se habla del concurso literario que apreció en el número anterior.
Revista Alas,7,Anónimo,Ninguno de los anteriores,NA,Colombia,SERVICIO AEREO ENTRE BOGOTA Y MEDELLIN,7,Junio 24 de 1933,No,NA,NA,NA,Prosa No ficción,Comentarios del momento,NA,NA,0.2,6,NA
Revista Alas,8,"Uribe, Joaquín Antonio",Creador,NA,Colombia,NA,7,Junio 24 de 1933,No,NA,NA,NA,Prosa No ficción,Comentarios del momento,NA,NA,0.1,6,No se menciona de donde se extra el fragmento.
Revista Alas,9,Anónimo,Creador,NA,NA,NA,7,Junio 24 de 1933,No,NA,NA,NA,Publicidad,Comentarios del momento,NA,NA,0.1,6,Publicidad de medicamentos.
Revista Alas,10,"Echavarría y Larrazábal, Raimundo",Creador,NA,Chile,Marinero,7,Junio 24 de 1933,No,NA,NA,NA,Poesía,NA,NA,NA,0.4,NA,Poeta chileno. Posibles transferencias.
Revista Alas,11,"González Martínez, Enrique",Creador,NA,México​,Alas,7,Junio 24 de 1933,No,NA,NA,NA,Poesía,NA,NA,NA,0.4,NA,Poeta mexicano. Posibles transferencias.
Revista Alas,12,"Blanco, Ignacio",Creador,NA,Colombia,HORARIO,7,Junio 24 de 1933,No,NA,NA,NA,Prosa No ficción,Original para «Alas»,NA,NA,0.7,8,NA
Revista Alas,13,Anónimo,Creador,NA,NA,NA,7,Junio 24 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.2,8,NA
Revista Alas,14,Anónimo,Creador,NA,NA,NA ,7,Junio 24 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,1,NA,NA
Revista Alas,15,Anónimo,Creador,NA,NA,Elogio del gato,7,Junio 24 de 1933,No,NA,NA,NA,Prosa No ficción,NA,NA,NA,0.6,10,No aparece la continuación del cuento ni la firma.
Revista Alas,16,Anónimo,Creador,NA,NA,NA,7,Junio 24 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.3,10,NA
Revista Alas,17,Anónimo,Creador,NA,Colombia,NA,7,Junio 24 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.1,10,Aviso por parte de la revista sobre la suscripción de esta.
Revista Alas,18,"Cuervo Márquez, Emilio",Creador,NA,Colombia,LILI,7,Junio 24 de 1933,No,NA,NA,NA,Prosa Ficción,CUENTO NACIONAL,NA,NA,3.7,"11, 12, 25, 26, 30",En el cuento la protagonista va a Europa.
Revista Alas,19,Anónimo,Creador,NA,NA,NA,7,Junio 24 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,0.5,12,Publicidad dirigida a público femenino. Fotografía de una mujer.
Revista Alas,20,"Villiers de L'isle Adam, Auguste",Creador,NA,Francia,EL DUQUE DE PORTLAND,7,Junio 24 de 1933,Sí,NA,Español,Francés,Prosa Ficción,Cuento extranjero,NA,NA,1.8,"13, 14",No se menciona al traductor y tampoco de donde se extrae el cuento.
Revista Alas,21,Anónimo,Creador,NA,NA,NA,7,Junio 24 de 1933,No,NA,NA,NA,Publicidad,NA,NA,NA,1,NA,Publicidad de moda y textiles. Ilustración de un hombre. El tipo de papel es diferente y fue impreso a blanco y negro.
Revista Alas,22,"Ángel Montoya, Alberto",Creador,NA,Colombia,Lebreles,7,Junio 24 de 1933,No,NA,NA,NA,Poesía,NA,NA,NA,0.4,NA,Publicación de un poeta bogotano considerado el maestro del soneto galante. El tipo de papel es diferente.
Revista Alas,23,Anónimo,Ilustrador,NA,NA,NA,7,Junio 24 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,NA,Fotografía con marco circular de un perro lebrel a blanco y negro. No se menciona el nombre del fotografo ni la fecha en que fue tomada. 
Revista Alas,24,"Botero, Emiro",Ilustrador,NA,Colombia,NA,7,Junio 24 de 1933,No,NA,NA,NA,Imagen,Los que Empiezan,NA,NA,0.2,NA,Dibujo a lápiz de escenas callejeras. El tipo de papel es diferente.
Revista Alas,25,"Botero, Emiro",Ilustrador,NA,Colombia,NA,7,Junio 24 de 1933,No,NA,NA,NA,Imagen,Los que Empiezan,NA,NA,0.2,NA,Dibujo a lápiz de escenas callejeras. El tipo de papel es diferente.
Revista Alas,26,Anónimo,Ilustrador,NA,NA,NA,7,Junio 24 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.1,NA,"Fotografía a blanco y negro de Sta. Margarita Estrada. El crédito de la foto se le otorga a ""Foto. Americana"" y se menciona la tipografía ""Olympia""."
Revista Alas,27,Anónimo,Ilustrador,NA,NA,NA,7,Junio 24 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.1,NA,"Fotografía a blanco y negro de Sta. Lucila Arango. El crédito de la foto se le otorga a "" Foto. Americana"" y se menciona la tipografía ""Olympia""."
Revista Alas,28,Anónimo,Ilustrador,NA,NA,NA,7,Junio 24 de 1933,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,NA,"Fotografía a blanco y negro de pareja medellinense. El crédito de la foto se le otorga a ""Foto Rodríguez""."
