"Autor de la contribución
Apellido, Nombre",Fuente de datos,Seudónimo,Sexo,País de origen,Año de nacimiento del colaborador,Año de muerte del colaborador,GND_ID,Wikidata_ID,Colaboradores_GND,Sexo o género_GND,Fecha de nacimiento_GND,Fecha de fallecimiento_GND,Lugar de nacimiento GND,País de origen GND,Colaboradores_Wikidata,sexo o género_Wikidata,Lugar de nacimiento_Wikidata,País de origen_Wikidata,Fecha de nacimiento_Wikidata,Fecha de fallecimiento_Wikidata,Colaborador_VIAF,Link_VIAF,,
"Acosta Penagos, Alberto",QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1920,,,,"Acosta Penagos, Alberto",,,,,,"Acosta Penagos, Alberto",,,,,,"Acosta Penagos, Alberto",,,
"Acosta Restrepo, Luz María",https://d-nb.info/gnd/1047926520,,F,Colombia,,,1047926520,,"Acosta Restrepo, Luz María",Unbekannt,,,,,"acosta restrepo, luz maria",,,,,,"Acosta Restrepo, Luz María",http://viaf.org/viaf/306368940,306368940,
"Acosta, Lola de",Sánchez: Diccionario; Echavarria,,F,Colombia,1922,,,,"Acosta, Lola de",,,,,,"Acosta, Lola de",,,,,,"Acosta, Lola de",,,
"Acremant, Albert",https://www.wikidata.org/wiki/Q88342108,,M,Francia,1889,1996,124229549,Q88342108,"Acremant, Germaine",Unbekannt,1889,1996,,,Albert Acremant,male,Arras,France,1882-02-03,1942-07-24,"Acremant, Albert",http://viaf.org/viaf/71478456,71478456,
"Acuña Porra, Adolfo",Sánchez: Diccionario,,M,Colombia,1930,1982,,,"Acuña Porra, Adolfo",,,,,,"Acuña Porra, Adolfo",,,,,,"Acuña Porra, Adolfo",,,
"Agudelo Castrillón, Aurelio",Sánchez: Diccionario,Auro de Lollón,M,Colombia,1898,,,,,,,,,,,,,,,,,,,
"Agudelo Chavarriaga, Carlos",Sánchez: Diccionario,,M,Colombia,1906,1982,,,,,,,,,,,,,,,,,,
"Agudelo de G., Mara",https://d-nb.info/gnd/1056623535,,,,1931,,1056623535,,"Agudelo, Mara",Unbekannt,1931-01-05,,,,"Agudelo de G., Mara",,,,,,"Agudelo de G., Mara",http://viaf.org/viaf/36540579,36540579,
"Agudelo Villa, Hernando",https://www.wikidata.org/wiki/Q5895937,,M,Colombia,1923,2010,170654915,Q5895937,"Agudelo Villa, Hernando",Unbekannt,1923,,,,Hernando Agudelo Villa,male,Medellín,Colombia,1923-03-09T00:00:00Z,2010-07-29T00:00:00Z,"Agudelo Villa, Hernando",http://viaf.org/viaf/262464516,262464516,
"Agudelo, Gilberto",Ospina; Sánchez: Diccionario; Echavarria,Dex,M,Colombia,1889,1955,,,"Agudelo, Gilberto",,,,,,"Agudelo, Gilberto",,,,,,"Agudelo, Gilberto",http://viaf.org/viaf/61087059,61087059,
"Agudelo, Mara",https://d-nb.info/gnd/1056623535,,F,Colombia,1931,,1056623535,,"Agudelo, Mara",Unbekannt,1931-01-05,,,,"AGUDELO, MARA",,,,,,"Agudelo de G., Mara, 1931-",http://viaf.org/viaf/36540579,36540579,
"Agudelo, Miguel",Sánchez: Diccionario Autores Antioqueños,David Guerrero,M,Colombia,1883,1954,,,,,,,,,,,,,,,,,,
"Aguilera, Miguel",https://www.wikidata.org/wiki/Q29168340,,M,Colombia,1895,1973,1056713690,Q29168340,"Aguilera, Miguel",Unbekannt,,1973,,,Miguel Aguilera,male,,,1895-01-01,1973-01-01,"Aguilera, Miguel",http://viaf.org/viaf/56170778,56170778,
"Aguirre López, Luis Enrique",Sánchez: Diccionario,Ci-Mi-Fú,M,Colombia,1921,,1056336935,,"Aguirre López, Enrique",Unbekannt,,,,,"Aguirre López, Luis Enrique",,,,,,"Aguirre López, Luis Enrique",,,
"Aguirre, Pedro Claver",https://d-nb.info/gnd/1060692929,,M,Colombia,,,1060692929,,"Aguirre, Pedro Claver",Unbekannt,,,,,"AGUIRRE, PEDRO CLAVER",,,,,,"Aguirre, Pedro Claver",http://viaf.org/viaf/311452897,311452897,
"Airó Arveras Oria, Clemente",QeQ Ven.; Minchero; Instituto Nacional: Letras; López de Zuazo; Sánchez: Diccionario; Becco; Gullón; Aira,,M,Spain; Colombia,1918,1975,,,"Airó Arveras Oria, Clemente",,,,,,"Airó Arveras Oria, Clemente",,,,,,"Airó Arveras Oria, Clemente",,,
"Alba Barrenechea, Antonio",https://culturayarteancashino.blogspot.com/2012/01/la-poesia-ancashina-del-siglo-xx.html,Juan de Bohemia,M,Perú,1907,1960,,,,,,,,,,,,,,,,,,
"Albán, Francisco",https://www.wikidata.org/wiki/Q108575047,,M,,1720,,,Q108575047,"Albán, Francisco",,,,,,Francisco Albán,male,,,1720-01-01T00:00:00Z,,"Albán, Francisco",,,
"Albarracín C., Jacinto",Sánchez: Diccionario,,M,Colombia,1876,1982,,,,,,,,,,,,,,,,,,
"Allais, Alphonse",http://viaf.org/viaf/302147306,,M,Francia,1854,1905,118648209,Q371905,"Allais, Alphonse",Männlich,1854-10-20,1905-10-28,Honfleur,Frankreich,Alphonse Allais,male,Honfleur,France,1854-10-20,1905-10-28,"Allais, Alphonse",http://viaf.org/viaf/302147306,,
"Altenberg, Peter",https://www.wikidata.org/wiki/Q44972,,M,Austria,1859,1919,118502255,Q44972,"Altenberg, Peter",Männlich,1859-03-09,1919-01-08,Wien,Österreich,Peter Altenberg,male,Vienna,Austria,1859-03-09,1919-01-08,"Altenberg, Peter",http://viaf.org/viaf/14765396,14765396,
"Álvarez Atehortúa, Mauro",https://d-nb.info/gnd/1057131814,,,,1938,,1057131814,,"Álvarez A., Mauro",Unbekannt,1938,,,,"Álvarez Atehortúa, Mauro",,,,,,"Álvarez Atehortúa, Mauro",,,
"Alvarez Bonilla, Enrique",https://www.wikidata.org/wiki/Q81619303,,,,1848,1913,,Q81619303,"Alvarez Bonilla, Enrique",Unbekannt,,,,,Enrique Álvarez Bonilla,,,,1848-01-01T00:00:00Z,1913-01-01T00:00:00Z,"Alvarez Bonilla, Enrique",,,
"Álvarez de Velasco y Zorrilla, Francisco",https://www.wikidata.org/wiki/Q3751071,,M,Colombia,1647,1708,119401614,Q3751071,"Alvarez de Velasco y Zorrilla, Francisco",Unbekannt,1647,1704,,,Francisco Álvarez de Velasco y Zorrilla,male,Bogotá,Colombia,1647-08-11T00:00:00Z,1708-01-01T00:00:00Z,"Álvarez de Velasco y Zorrilla, Francisco",http://viaf.org/viaf/45110825,45110825,
"Alvarez Garzón, Juan",WW Latin America 1; Sánchez: Diccionario; Ardila/Viscaino; Echavarria,,M,Colombia,1898,1974,,,"Alvarez Garzón, Juan",,,,,,"Alvarez Garzón, Juan",,,,,,"Alvarez Garzón, Juan",http://viaf.org/viaf/360145856873722920493,360145856873723000000,
"Álvarez Henao, Enrique",Mesa; Ospina; Otero Muñoz; González/Zafir; Minchero; Sánchez: Diccionario,,M,Colombia,1871,1914,,Q15634971,"Álvarez, Enrique",,,,,,"Álvarez Henao, Enrique",male,,,1871,1914,"Álvarez, Enrique",,,
"Alvarez Lleras, Antonio",https://www.wikidata.org/wiki/Q606189,,M,Colombia,1892,1956,,Q606189,"Alvarez Lleras, Antonio",,,,,,Antonio Alvarez Lleras,male,Bogotá,Colombia,1892-01-01T00:00:00Z,1956-01-01T00:00:00Z,"Alvarez Lleras, Antonio",http://viaf.org/viaf/60957161,60957161,
"Alvarez Restrepo, Antonio",https://d-nb.info/gnd/1056382139,,M,Colombia,1906,,1056382139,,"Alvarez Restrepo, Antonio",Unbekannt,1906,,,,"ALVAREZ RESTREPO, ANTONIO",,,,,,"Alvarez Restrepo, Antonio 1906-",http://viaf.org/viaf/309753095,309753095,
"Alvarez, Jaime",https://d-nb.info/gnd/133962296,,M,Colombia,1917,,133962296,,"Alvarez, Jaime",Unbekannt,1917,,,,"ALVAREZ, JAIME",,,,,,"ALVAREZ, JAIME",,,
"Alvarez, Rosa E. de Marín",Sánchez: Diccionario,,F,Colombia,1906,,,,"Alvarez, Rosa E. de Marín",,,,,,"Alvarez, Rosa E. de Marín",,,,,,"Alvarez, Rosa E. de Marín",,,
"Alvear Restrepo, Carlos",Sánchez: Diccionario Autores Antioqueños,Remigio Risa,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Alvear Restrepo, José",https://www.wikidata.org/wiki/Q112047897,,M,Colombia,1913,1953,,Q112047897,"ALVEAR RESTREPO, JOSÉ",,,,,,José Alvear Restrepo,male,,,,,"Alvear Restrepo, José 1913-1953",http://viaf.org/viaf/68601343,68601343,
"Alzate Avendaño, Gilberto",https://www.wikidata.org/wiki/Q732910,,M,Colombia,1910,1960,1027546110,Q732910,"Alzate Avendaño, Gilberto",Männlich,1910-10-10,1960-11-26,Manizales,Kolumbien,Gilberto Alzate Avendaño,male,Manizales,Colombia,1910-10-10T00:00:00Z,1960-11-26T00:00:00Z,"Alzate Avendaño, Gilberto, 1910-1960",http://viaf.org/viaf/35771608,35771608,
"Alzate Sanders, Teresa",https://d-nb.info/gnd/1060678977; Echavarria,,F,Colombia,1933,,1060678977,,"Alzate Sanders, Teresa",Unbekannt,,,Antioquia,Kolumbien,"SANDERS, TERESA",,,,,,"Sanders, Teresa",http://viaf.org/viaf/25857799,25857799,
"Amaris Asdrúbal, José",Sánchez: Diccionario,,M,Colombia,1923,,,,"Amaris Asdrúbal, José",,,,,,"Amaris Asdrúbal, José",,,,,,"Amaris Asdrúbal, José",,,
"Amaya Villamil, Alejo",Sánchez: Diccionario,,M,Colombia,1906,,1057219150,,"Amaya, Alejo",Unbekannt,,,,,"Amaya Villamil, Alejo",,,,,,"Amaya Villamil, Alejo",,,
"Amaya, Euquerio",https://d-nb.info/gnd/1011910020,"Milanés, Adolfo",M,Colombia,1883,1931,1011910020,Q97503541,"Milanés, Adolfo",Unbekannt,1883,1931,,,Adolfo Milanés,male,,,,,"Milanés, Adolfo",,,
"Amiel, Henri-Frédéric",http://viaf.org/viaf/39372874,,M,Switzerland,1821,1881,,,,,,,,,,,,,,,,,,
"Amórtegui Rojas, Octavio",https://d-nb.info/gnd/1056310383,,M,Colombia; Mexico,1901,1990,1056310383,,"Amórtegui, Octavio",Unbekannt,1901-02-19,1990,,,"Amórtegui Rojas, Octavio",,,,,,"Amórtegui, Octavio, 1901-1990",http://viaf.org/viaf/18564010,18564010,
"Andrade, Luis Ignacio",https://d-nb.info/gnd/1056480467,,M,Colombia,1894,1951,1056480467,,"Andrade, Luis Ignacio",Unbekannt,1894,1951,,,"Andrade, Luis Ignacio",,,,,,"Andrade, Luis Ignacio 1894-1951",http://viaf.org/viaf/309761756,309761756,
"Añez, Julio",Laverde 3; Ospina; Otero Muñoz; Sánchez: Diccionario,t. Añes,M,Colombia,1857,1899,,,"Añez, Julio",,,,,,"Añez, Julio",,,,,,"Añez, Julio, 1850-",http://viaf.org/viaf/138808262,138808262,
"Angarita Somoza, Agustín",QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1922,,,,"Angarita Somoza, Agustín",,,,,,"Angarita Somoza, Agustín",,,,,,"Angarita Somoza, Agustín",,,
"Ángel Montoya, Alberto",https://www.wikidata.org/wiki/Q5663724,,M,Colombia,1902,1970,,Q5663724,"Ángel Montoya, Alberto",,,,,,Alberto Ángel Montoya,male,Bogotá,Colombia,1902-03-30T00:00:00Z,1970-11-20T00:00:00Z,"Ángel Montoya, Alberto",http://viaf.org/viaf/17481831,17481831,
"Ángel Vallejo, Félix",http://viaf.org/viaf/10157882685360440669;Sánchez: Diccionario Autores Antioqueños,Angel Ríos,M,Colombia,1903,1996,,,,,,,,,,,,,,,"Vallejo, Félix Angel 1903-1996",http://viaf.org/viaf/10157882685360440669,10157882685360400000,
"Angulo Peláez, Ligia",https://d-nb.info/gnd/1241583986,,F,Colombia,1910,2002,1241583986,,"Angulo Peláez, Ligia",Unbekannt,1910,2002,,,"ANGULO PELAEZ, LIGIA",,,,,,"Angulo Peláez, Ligia 1910-2002",http://viaf.org/viaf/4617163274273912440003,4617163274273910000000,
"Antolínez, Luis Enrique",http://viaf.org/viaf/313413155,,M,Colombia,1891,1920,,,"Antolínez, Luis Enrique",,,,,,"Antolínez, Luis Enrique",,,,,,"Antolínez, Luis Enrique",http://viaf.org/viaf/313413155,313413155,
"Arana Londoño, Francisco",https://d-nb.info/gnd/102975022X,,,Costa Rica,1878,,102975022X,,"Arana, Francisco",Unbekannt,1878-07-19,,Alajuela,Costa Rica,"Arana Londoño, Francisco",,,,,,"Arana Londoño, Francisco",,,
"Arango Ferrer, J.",https://d-nb.info/gnd/1056540133,,M,Colombia,1905,1984,1056540133,,"Arango Ferrer, Javier",Unbekannt,1905,1984,Antioquia,Kolumbien,"Arango Ferrer, J.",,,,,,"Arango Ferrer, J.",,,
"Arango Ferrer, Javier",https://d-nb.info/gnd/1056540133,,M,Colombia,1905,1984,1056540133,,"Arango Ferrer, Javier",Unbekannt,1905,1984,Antioquia,Kolumbien,"ARANGO FERRER, JAVIER",,,,,,"Arango Ferrer, Javier",http://viaf.org/viaf/93815570,93815570,
"Arango Franco, Ricardo",Ospina; Sánchez: Diccionario; Echavarria,,M,Colombia,1896,1965,,,,,,,,,,,,,,,,,,
"Arango Mejía, Gabriel",Sánchez: Diccionario,Agrícola; Galeano Barriga,M,Colombia,1872,1958,,,"Arango Mejía, Gabriel",,,,,,"Arango Mejía, Gabriel",,,,,,"Arango Mejía, Gabriel",http://viaf.org/viaf/50930615,50930615,
"Arango Saraz, Fabio",https://d-nb.info/gnd/126123950,,M,Colombia,,,126123950,,"Arango Saraz, Fabio",Unbekannt,,,,,"ARANGO SARAZ, FABIO",,,,,,"Arango Saraz, Fabio",http://viaf.org/viaf/25586512,25586512,
"Arango, Antonio J.",Sánchez: Diccionario,,M,Colombia,1906,1980,,,"Arango, Antonio J.",,,,,,"Arango, Antonio J.",,,,,,"Arango, Antonio J.",,,
"Arango, Gonzalo",https://www.wikidata.org/wiki/Q1537336,,M,Colombia,1931,1976,1053086792,Q1537336,"Arango, Gonzalo",Unbekannt,1931-01-18,1976-09-25,,,Gonzalo Arango,male,Andes,Colombia,1931-01-18T00:00:00Z,1976-09-25T00:00:00Z,"Arango, Gonzalo, 1931-1976",http://viaf.org/viaf/54162054,54162054,
"Arango, Luis Ángel",https://www.wikidata.org/wiki/Q5984628,,M,Colombia,1903,1957,,Q5984628,"ARANGO, LUIS ANGEL",,,,,,Luis Ángel Arango,male,Medellín,Colombia,1903-11-13T00:00:00Z,1957-01-13T00:00:00Z,"Arango, Luis Angel, 1903-1957",http://viaf.org/viaf/304133491,304133491,
"Arbeláez, Fernando",http://viaf.org/viaf/50743198,,M,Colombia,1924,1995,1122700369,,"Arbeláez, Fernando",Unbekannt,,,,,"Arbeláez, Fernando",,,,,,"Arbeláez, Fernando",http://viaf.org/viaf/50743198,50743198,
"Arboleda R., Gustavo",https://www.wikidata.org/wiki/Q5889471,,M,Colombia,1881,1938,1056269596,Q5889471,"Arboleda, Gustavo",Unbekannt,1881-11-24,1938-12-14,Popayán,Kolumbien,Gustavo Arboleda,male,Popayán,Colombia,1881-01-01T00:00:00Z,1938-01-01T00:00:00Z,"Arboleda, Gustavo, 1881-1938",http://viaf.org/viaf/70573720,70573720,
"Arboleda, Arturo","Ospina, Joaquín: Diccionario biográfico y bibliográfico de Colombia. - Bogotá : Cromos, 1927-1939",,M,Colombia,1885,1927,,,,,,,,,,,,,,,,,,
"Arboleda, Julio",https://www.wikidata.org/wiki/Q3189799,,M,Colombia,1817,1862,1055473025,Q3189799,"Arboleda, Julio",Unbekannt,1817,1862,,,Julio Arboleda Pombo,male,Popayán,Colombia,1817-06-09T00:00:00Z,1862-11-13T00:00:00Z,"Arboleda, Julio",http://viaf.org/viaf/40850132,40850132,
"Arce Figueroa, Manuel",https://www.wikidata.org/wiki/Q5992252,,M,Colombia,1909,1987,,Q5992252,"Arce Figueroa, Manuel",,,,,,Manuel Arce Figueroa,male,,,1909-10-03T00:00:00Z,1987-11-17T00:00:00Z,"Arce Figueroa, Manuel",,,
"Arce, Julio César","Ospina, Joaquín: Diccionario biográfico y bibliográfico de Colombia. - Bogotá : Cromos, 1927-1939; Sánchez López, Luis María: Diccionario de escritores colombianos. - 2a. ed. - Barcelona : Plaza & Janes, 1982","San Martín, Jorge de",M,Colombia,1885,1927,,,,,,,,,,,,,,,,,,
"Arcila Urrea, Jesús María",Sánchez: Diccionario Autores Antioqueños,Ulises,M,Colombia,1860,1910,,,,,,,,,,,,,,,,,,
"Arcila Vélez, Graciliano",https://www.wikidata.org/wiki/Q16493370,,M,Colombia,1912,2003,105711524X,Q16493370,"Arcila Vélez, Graciliano",Unbekannt,1912,,,,Graciliano Arcila Vélez,male,Amagá,Colombia,1912-09-04T00:00:00Z,2003-10-30T00:00:00Z,"Arcila Vélez, Graciliano, 1912-",http://viaf.org/viaf/30827353,30827353,
"Arciniegas, Germán",https://www.wikidata.org/wiki/Q1399691,,M,Colombia,1900,1999,118993151,Q1399691,"Arciniegas, Germán",Männlich,1900,1999,Bogotá,Kolumbien,Germán Arciniegas,male,Bogotá,Colombia,1900-12-06,1999-11-29,"Arciniegas, Germán",http://viaf.org/viaf/66462822,66462822,
"Arciniegas, Ismael Enrique",http://viaf.org/viaf/30956884,,M,Colombia,1865,1938,1182557600,Q5922599,"Arciniegas, Ismael Enrique",Unbekannt,1865-01-02,1938-01-23,Santander,Kolumbien,Ismael Enrique Arciniegas,male,Curití,Colombia,1865-01-02,1938-01-23,"Arciniegas, Ismael Enrique",http://viaf.org/viaf/30956884,,
"Ardila Casamitjana, Jaime",https://www.wikidata.org/wiki/Q28456945,,M,Colombia,1919,2019,1242119922,Q28456945,"Ardila Casamitjana, Jaime",Unbekannt,1919,2019,Santander (Departamento),Kolumbien,Jaime Ardila Casamitjana,male,Zapatoca,Colombia,1919-01-12T00:00:00Z,2019-01-30T00:00:00Z,"Ardila Casamitjana, Jaime, 1919-2019",http://viaf.org/viaf/170453030,170453030,
"Arenas Betancourt, Rodrigo",https://www.wikidata.org/wiki/Q332420,,M,Colombia,1919,1995,,Q332420,"ARENAS BETANCUR, RODRIGO",,,,,,Rodrigo Arenas Betancourt,male,Fredonia,Colombia,1919-10-23T00:00:00Z,1995-05-14T00:00:00Z,"Arenas Betancourt, Rodrigo, 1919-....",http://viaf.org/viaf/44546458,44546458,
"Arenas Mantilla, Vicente",Sánchez: Diccionario; Echavarria,,M,Colombia,1912,1992,,,"Arenas Mantilla, Vicente",,,,,,"Arenas Mantilla, Vicente",,,,,,"Arenas Mantilla, Vicente",,,
"Arenas Serrano, Antonio Vicente",https://www.wikidata.org/wiki/Q109498207,,M,Colombia,1906,1988,,Q109498207,"Arenas Serrano, Antonio Vicente",,,,,,Antonio Vicente Arenas,male,Zapatoca,Colombia,1906-02-08T00:00:00Z,1988-06-25T00:00:00Z,"Arenas Serrano, Antonio Vicente",,,
"Arias Argaéz, Daniel",Ospina; WW Latin America 1; Minchero; Sánchez: Diccionario; Echavarria,,M,Colombia,1869,1951,,,"Arias Argaéz, Daniel",,,,,,"Arias Argaéz, Daniel",,,,,,"Arias Argáez, Daniel",http://viaf.org/viaf/121773010,121773010,
"Arias Suárez, Eduardo",https://www.wikidata.org/wiki/Q5818981,,M,Colombia,1897,1958,1158972717,Q5818981,"Arias Suárez, Eduardo",Unbekannt,,,,,Eduardo Arias Suárez,male,Armenia,Colombia,1897-02-05T00:00:00Z,1958-10-19T00:00:00Z,"Arias Suárez, Eduardo, 1897-1958",http://viaf.org/viaf/188443091,188443091,
"Arias Trujillo, Bernardo",https://www.wikidata.org/wiki/Q5726674,,M,Colombia,1903,1938,1224568966,Q5726674,"Arias Trujillo, Bernardo",Unbekannt,1903-11-19,1938-03-04,,,Bernardo Arias Trujillo,male,Manzanares,Colombia,1903-11-19T00:00:00Z,1938-03-04T00:00:00Z,"Arias Trujillo, Bernardo",,,
"Arias, Juan de Dios",https://d-nb.info/gnd/1056667354,,,,1828,1886,1056667354,,"Arias, Juan de Dios",Unbekannt,1828,1886,,,"Arias, Juan de Dios",,,,,,"Arias, Juan de Dios",http://viaf.org/viaf/50865283,50865283,
"Arroyave de la Calle, Julio César",http://viaf.org/viaf/25922211; Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1914,,,,"ARROYAVE CALLE, JULIO CESAR",,,,,,"ARROYAVE CALLE, JULIO CESAR",,,,,,"Arroyave de la Calle, Julio César 1914-",http://viaf.org/viaf/25922211,25922211,
"Arroyave Vélez, Eduardo",Gallo Martínez,,M,Colombia,1909,,,,,,,,,,,,,,,,"Arroyave Vélez, Eduardo",http://viaf.org/viaf/23548250,23548250,
"Arrubla, Gerardo",https://www.wikidata.org/wiki/Q93261615,,M,Colombia,1872,1946,1057288926,Q93261615,"Arrubla, Gerardo",Unbekannt,,,,,Gerardo Arrubla,male,,,1872-01-01T00:00:00Z,1946-01-01T00:00:00Z,"Arrubla, Gerardo, 1872-1946",http://viaf.org/viaf/44330666,44330666,
"Arteaga, Cristina de",https://www.wikidata.org/wiki/Q10864839,,F,España,1902,1984,118884557,Q10864839,"Arteaga, Cristina de",Unbekannt,1902,1984,Zarauz,Spanien,Cristina de Arteaga,female,Zarautz,España,1902-09-06,1984-07-13,"Arteaga, Cristina de",http://viaf.org/viaf/41145857129722922991,"4,11459E+19",
"Artel, Jorge",https://www.wikidata.org/wiki/Q51730105,Agapito de Arcos,M,Colombia,1909,1994,122679849,Q51730105,"Artel, Jorge",Unbekannt,1909,1994,,,Jorge Artel,male,Cartagena de Indias,Colombia,1909-04-27T00:00:00Z,1994-08-20T00:00:00Z,"Artel, Jorge",http://viaf.org/viaf/27130996,27130996,
"Arturo, Aurelio",https://www.wikidata.org/wiki/Q775518,,M,Colombia,1906,1974,139076484,Q775518,"Arturo, Aurelio",Unbekannt,1906,1974,,,Aurelio Arturo,male,Bogotá,Colombia,1906-02-22T00:00:00Z,1974-11-24T00:00:00Z,"Arturo, Aurelio",http://viaf.org/viaf/2492066,2492066,
"Asbjørnsen, Peter Christen",https://d-nb.info/gnd/11536904X,,M,Noruega,1812,1885,11536904X,Q355485,"Asbjørnsen, Peter Christen",Männlich,1812-01-15,1885-01-06,Oslo,Norwegen,Peter Christen Asbjørnsen,male,Oslo,Norway,1812-01-15,1885-01-06,"Asbjørnsen, Peter Christen",http://viaf.org/viaf/116587918,116587918,
"Astudillo, Manuel María",Sánchez: Diccionario; Echavarria,,M,Colombia,1893,1934,,,"Astudillo, Manuel María",,,,,,"Astudillo, Manuel María",,,,,,"Astudillo, Manuel María",,,
"Auqué Lara, Javier",Sánchez: Diccionario; Avila A.; Echavarria; Hernández/Parra,,M,Colombia; Venezuela,1923,,,,"Auqué Lara, Javier",,,,,,"Auqué Lara, Javier",,,,,,"Auqué Lara, Javier",http://viaf.org/viaf/17334441,17334441,
"Ayarza de Herrera, Emilia",https://www.wikidata.org/wiki/Q106554994,,F,Colombia,1919,1966,1056314982,Q106554994,"Ayarza, Emilia",Unbekannt,1919,1966,,,Emilia Ayarza de Herrera,female,Bogotá,Colombia,1919-05-22T00:00:00Z,1966-01-01T00:00:00Z,"Ayarza de Herrera, Emilia",,,
"Baena Quintero, Jairo",Sánchez: Diccionario; Echavarria,,M,Colombia,1923,,1057048178,,"Baena Quintero, Jairo",Unbekannt,1923,,,,"Baena Quintero, Jairo",,,,,,"Baena Quintero, Jairo",,,
"Baena Rios, Mario",Sánchez: Diccionario Autores Antioqueños,Hernando de la Luz,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Bahr, Hermann",https://d-nb.info/gnd/118505955,,M,Austria,1863,1934,118505955,Q94034,"Bahr, Hermann",Männlich,1863-07-19,1934-01-15,Linz,Österreich,Hermann Bahr,male,Linz,Austria,1863-07-19,1934-01-15,"Bahr, Hermann",http://viaf.org/viaf/36939191,36939191,
"Balart, Federico",http://viaf.org/viaf/56173138,,M,España,1831,1905,,,,,,,,,,,,,,,,,,
"Banchs, Enrique",https://www.wikidata.org/wiki/Q575904,,M,Argentina,1888,1968,118988123,Q575904,"Banchs, Enrique",Unbekannt,1888,1968,,,Enrique Banchs,male,Buenos Aires,Argentina,1888-02-08,1968-06-06,"Banchs, Enrique",http://viaf.org/viaf/41963167,41963167,
